entity,crop,relation
油桐尺蛾,油桐,危害
油桐尺蛾,扁柏,危害
油桐尺蛾,刺槐,危害
油桐尺蛾,漆树,危害
油桐尺蛾,麻栎,危害
油桐尺蛾,板栗,危害
油桐尺蛾,花椒,危害
达摩凤蝶,柑橘类,危害
玉带凤蝶,柑橘类果树,危害
玉带凤蝶,柑橘,危害
玉带凤蝶,花椒,危害
玉带凤蝶,山椒,危害
柑橘恶性叶甲,柑橘类,危害
绿鳞象甲,林木,危害
柑橘灰象甲,柑橘类,危害
柑橘灰象甲,龙眼,危害
柑橘灰象甲,荔枝,危害
柑橘灰象甲,茉莉,危害
柑橘灰象甲,野芝麻,危害
柑橘灰象甲,柑橘,危害
柑橘潜叶蛾,柑橘类,危害
柑橘爆皮虫,柑橘类,危害
柑橘溜皮虫,柑橘,危害
橘褐天牛,柑橘类,危害
橘褐天牛,柠檬,危害
橘褐天牛,葡萄,危害
光盾绿天牛,柑橘类,危害
光盾绿天牛,柠檬,危害
黑翅土白蚁,柑橘,危害
黑翅土白蚁,苹果,危害
黑翅土白蚁,杉木,危害
黑翅土白蚁,池杉,危害
黑翅土白蚁,黑荆,危害
黑翅土白蚁,泡桐,危害
黑翅土白蚁,木荷,危害
荔枝霜疫霉病,荔枝,危害
荔枝炭疽病,荔枝,危害
荔枝酸腐病,荔枝,危害
荔枝叶斑病,荔枝,危害
荔枝叶斑病,龙眼,危害
黑蚱蝉,苹果,危害
黑蚱蝉,山楂,危害
黑蚱蝉,樱桃,危害
黑蚱蝉,柑橘,危害
黑蚱蝉,枇杷,危害
黑蚱蝉,荔枝,危害
黑蚱蝉,葡萄,危害
桥夜蛾,柑橘,危害
荔枝斑点病,荔枝,危害
荔枝斑点病,龙眼,危害
荔枝壳二孢叶斑病,荔枝,危害
荔枝煤烟病,龙眼,危害
荔枝煤烟病,番石榴,危害
荔枝煤烟病,黄皮,危害
荔枝煤烟病,柑桔,危害
荔枝叶枯病,荔枝,危害
荔枝地衣病,龙眼,危害
荔枝地衣病,柑橘,危害
荔枝蝽,荔枝,危害
荔枝蝽,龙眼,危害
荔枝蝽,柑橘,危害
荔枝蝽,黄皮,危害
荔枝蝽,番石榴,危害
荔枝蝽,桉树,危害
荔枝蝽,枇杷,危害
红带滑胸针蓟马,油桐,危害
红带滑胸针蓟马,乌桕,危害
红带滑胸针蓟马,板栗,危害
红带滑胸针蓟马,荔枝,危害
红带滑胸针蓟马,橄榄,危害
白蛾蜡蝉,荔枝,危害
白蛾蜡蝉,龙眼,危害
白蛾蜡蝉,柑橘,危害
白蛾蜡蝉,芒果,危害
白蛾蜡蝉,木菠萝,危害
白蛾蜡蝉,咖啡,危害
白蛾蜡蝉,石榴,危害
白蛾蜡蝉,无花果,危害
白蛾蜡蝉,木瓜,危害
白蛾蜡蝉,胡椒,危害
双线盗毒蛾,柑橘,危害
双线盗毒蛾,龙眼,危害
双线盗毒蛾,苹果,危害
双线盗毒蛾,桃树,危害
小白纹毒蛾,柑橘,危害
小白纹毒蛾,葡萄,危害
小白纹毒蛾,苹果,危害
小白纹毒蛾,蔬菜,危害
爻纹细蛾,荔枝,危害
爻纹细蛾,龙眼,危害
爻纹细蛾,芒果,危害
蓖麻夜蛾,蓖麻,危害
蓖麻夜蛾,木薯,危害
蓖麻夜蛾,飞扬草,危害
蓖麻夜蛾,台湾相思,危害
毛翅夜蛾,苹果,危害
毛翅夜蛾,葡萄,危害
毛翅夜蛾,柑橘,危害
茶卷叶蛾,茶树,危害
茶卷叶蛾,油茶,危害
茶卷叶蛾,荔枝,危害
茶卷叶蛾,龙眼,危害
茶卷叶蛾,柑橘,危害
茶卷叶蛾,苹果,危害
茶卷叶蛾,杨桃,危害
茶卷叶蛾,板栗,危害
茶卷叶蛾,枇杷,危害
茶卷叶蛾,咖啡,危害
油桐尺蠖,油茶,危害
油桐尺蠖,木荷,危害
油桐尺蠖,乌桕,危害
油桐尺蠖,油桐,危害
咖啡木蠹蛾,咖啡,危害
咖啡木蠹蛾,荔枝,危害
咖啡木蠹蛾,龙眼,危害
咖啡木蠹蛾,柑橘,危害
咖啡木蠹蛾,枇杷,危害
咖啡木蠹蛾,葡萄,危害
白囊蓑蛾,油茶,危害
银毛吹棉蚧,柑橘,危害
银毛吹棉蚧,枇杷,危害
银毛吹棉蚧,杧果,危害
银毛吹棉蚧,石榴,危害
龙眼鸡,龙眼,危害
龙眼鸡,荔枝,危害
龙眼鸡,橄榄,危害
龙眼鸡,芒果,危害
龙眼鸡,柚子,危害
角蜡蚧,苹果,危害
角蜡蚧,柑橘,危害
角蜡蚧,枇杷,危害
角蜡蚧,无花果,危害
角蜡蚧,荔枝,危害
角蜡蚧,杨梅,危害
角蜡蚧,芒果,危害
角蜡蚧,石榴,危害
角蜡蚧,樱桃,危害
珀蝽,柑橘,危害
珀蝽,荔枝,危害
珀蝽,龙眼,危害
小青花金龟,山楂,危害
小青花金龟,苹果,危害
小青花金龟,葡萄,危害
小青花金龟,柑橘,危害
白星花金龟,苹果,危害
白星花金龟,樱桃,危害
白星花金龟,葡萄,危害
白星花金龟,柑橘,危害
芒果炭疽病,芒果,危害
芒果流胶病,芒果,危害
芒果黑色蒂腐病,芒果,危害
芒果横纹尾夜蛾,芒果,危害
褐边绿刺蛾,苹果,危害
褐边绿刺蛾,柑橘,危害
褐边绿刺蛾,樱桃,危害
褐边绿刺蛾,海棠,危害
褐边绿刺蛾,山楂,危害
褐边绿刺蛾,枇杷,危害
褐边绿刺蛾,核桃,危害
褐边绿刺蛾,石榴,危害
脊胸天牛,腰果,危害
大青叶蝉,苹果,危害
黄褐天幕毛虫,苹果,危害
黄褐天幕毛虫,樱桃,危害
黄褐天幕毛虫,海棠,危害
黄褐天幕毛虫,沙果,危害
枇杷灰斑病,枇杷,危害
枇杷斑点病,枇杷,危害
枇杷胡麻色斑点病,枇杷,危害
枇杷黄毛虫,枇杷,危害
黄星天牛,无花果,危害
黄星天牛,油桐,危害
黄星天牛,批把,危害
黄星天牛,柑桔,危害
香蕉交脉蚜,芭蕉,危害
香蕉交脉蚜,木瓜,危害
香蕉交脉蚜,小豆落,危害
香蕉交脉蚜,昙华,危害
香蕉交脉蚜,羊齿,危害
香蕉褐缘灰斑病,香蕉,危害
香蕉黑星病,香蕉,危害
香蕉束顶病,香蕉,危害
斑须蝽,苹果,危害
斑须蝽,山楂,危害
斑须蝽,草莓,危害
斑须蝽,枸杞,危害
斑须蝽,禾谷类,危害
斑须蝽,蔬菜,危害
斑须蝽,林木,危害
四纹丽金龟,葡萄,危害
四纹丽金龟,苹果,危害
四纹丽金龟,山楂,危害
四纹丽金龟,樱桃,危害
小黄卷叶蛾,油茶,危害
小黄卷叶蛾,柑桔,危害
顶芽卷蛾,山楂,危害
顶芽卷蛾,海棠,危害
桃斑蛾,樱桃,危害
桃斑蛾,山楂,危害
山楂叶螨,苹果,危害
山楂叶螨,樱桃,危害
山楂叶螨,山楂,危害
山楂叶螨,核桃,危害
李枯叶蛾,苹果,危害
李枯叶蛾,沙果,危害
李枯叶蛾,樱桃,危害
李枯叶蛾,核桃,危害
天幕毛虫,苹果,危害
天幕毛虫,樱桃,危害
光肩星天牛,苹果,危害
光肩星天牛,山楂,危害
光肩星天牛,樱桃,危害
粒肩天牛,苹果,危害
粒肩天牛,梹沙果,危害
粒肩天牛,海棠,危害
粒肩天牛,山楂,危害
粒肩天牛,樱桃,危害
粒肩天牛,柑橘,危害
粒肩天牛,无花果,危害
粒肩天牛,枇杷,危害
桃蚜,为害,危害
桃粉大尾蚜,樱桃,危害
桃粉大尾蚜,山楂,危害
桃粉大尾蚜,禾本,危害
朝鲜球坚蚧,海棠,危害
朝鲜球坚蚧,苹果,危害
桑白蚧,樱桃,危害
桑白蚧,苹果,危害
桑白蚧,葡萄,危害
桑白蚧,核桃,危害
桑白蚧,枇杷,危害
桑白蚧,醋栗,危害
桑白蚧,柑橘,危害
樱桃灰霉病,水果,危害
樱桃灰霉病,蔬菜,危害
樱桃灰霉病,花卉,危害
樱桃小果病,甜樱桃,危害
苹掌舟蛾,苹果,危害
苹掌舟蛾,山楂,危害
苹掌舟蛾,樱桃,危害
苹掌舟蛾,枇杷,危害
苹蚁舟蛾,苹果,危害
苹蚁舟蛾,樱桃,危害
桃潜叶蛾,樱桃,危害
桃潜叶蛾,苹果,危害
桃潜叶蛾,山楂,危害
桃潜叶蛾,稠李,危害
桃红颈天牛,桃树,危害
蚱蝉,苹果,危害
蚱蝉,山楂,危害
蚱蝉,樱桃,危害
蚱蝉,柑橘,危害
蚱蝉,枇杷,危害
蚱蝉,荔枝,危害
蚱蝉,葡萄,危害
黑星麦蛾,苹果,危害
黑星麦蛾,樱桃,危害
杏白带麦蛾,樱桃,危害
杏白带麦蛾,苹果,危害
杏白带麦蛾,沙果,危害
梅木蛾,苹果,危害
梅木蛾,樱桃,危害
梅木蛾,葡萄,危害
樱桃粘叶蜂,樱桃,危害
樱桃卷叶蚜,樱桃,危害
樱桃瘿瘤头蚜,樱桃,危害
小绿叶蝉,茄子,危害
小绿叶蝉,十字花科,危害
小绿叶蝉,蔬菜,危害
小绿叶蝉,马铃薯,危害
小绿叶蝉,水稻,危害
小绿叶蝉,樱桃,危害
小绿叶蝉,葡萄,危害
茶翅蝽,苹果,危害
茶翅蝽,海棠,危害
茶翅蝽,山楂,危害
茶翅蝽,樱桃,危害
茶翅蝽,榅桲,危害
茶翅蝽,柑橘,危害
茶翅蝽,石榴,危害
梨网蝽,苹果,危害
梨网蝽,海棠,危害
梨网蝽,花红,危害
梨网蝽,沙果,危害
梨网蝽,樱桃,危害
梨网蝽,山楂,危害
梨网蝽,梨树,危害
葡萄拟茎点霉腐烂病,葡萄,危害
葡萄白腐病,葡萄,危害
葡萄穗轴褐枯病,葡萄,危害
葡萄炭疽病,葡萄,危害
葡萄大房枯病,葡萄,危害
葡萄黑痘病,葡萄,危害
葡萄盘多毛孢蔓枯病,葡萄,危害
葡萄皮尔斯病,葡萄种,危害
葡萄皮尔斯病,熏衣草,危害
葡萄皮尔斯病,百合,危害
葡萄皮尔斯病,巴丹杏,危害
葡萄皮尔斯病,昆土兰栗,危害
葡萄皮尔斯病,苜蓿,危害
葡萄扇叶病,葡萄,危害
葡萄栓皮病,葡萄,危害
葡萄茎痘病,葡萄,危害
葡萄黄金病,葡萄,危害
葡萄花叶病,葡萄,危害
葡萄转色病,葡萄,危害
葡萄日灼病,葡萄,危害
葡萄黄叶病,葡萄,危害
葡萄缺铁病,葡萄,危害
葡萄缺钾病,葡萄,危害
葡萄缺锌病,葡萄,危害
葡萄长须卷蛾,葡萄,危害
葡萄长须卷蛾,棠梨,危害
葡萄长须卷蛾,油桐,危害
葡萄长须卷蛾,大豆,危害
雀纹天蛾,葡萄,危害
雀纹天蛾,常春藤,危害
葡萄斑蛾,葡萄,危害
旋目夜蛾,合欢,危害
旋目夜蛾,泡桐,危害
旋目夜蛾,苹果,危害
旋目夜蛾,葡萄,危害
旋目夜蛾,柑橘,危害
旋目夜蛾,枇杷,危害
葡萄虎蛾,葡萄,危害
台湾黄毒蛾,葡萄,危害
台湾黄毒蛾,柑橘,危害
台湾黄毒蛾,咖啡,危害
台湾黄毒蛾,芦笋,危害
葡萄十星叶甲,葡萄,危害
葡萄十星叶甲,爬山虎,危害
葡萄十星叶甲,黄荆树,危害
葡萄瘿蚊,葡萄,危害
葡萄根瘤蚜,葡萄,危害
桃一点斑叶蝉,葡萄,危害
桃一点斑叶蝉,桂花,危害
桃一点斑叶蝉,樱花,危害
桃一点斑叶蝉,海桐,危害
烟蓟马,葡萄,危害
烟蓟马,苹果,危害
烟蓟马,柑橘,危害
烟蓟马,草莓,危害
烟蓟马,菠萝,危害
烟蓟马,烟草,危害
葡萄虎天牛,葡萄,危害
葡萄透翅蛾,葡萄,危害
斑喙丽金龟,葡萄,危害
斑喙丽金龟,山楂,危害
斑喙丽金龟,苹果,危害
斑喙丽金龟,板栗,危害
斑喙丽金龟,菜豆,危害
斑喙丽金龟,大豆,危害
斑喙丽金龟,玉米,危害
猕猴桃褐色麻斑病,猕猴桃,危害
猕猴桃溃疡病,猕猴桃,危害
栗炭疽病,板栗,危害
栗大蚜,板栗,危害
栗大蚜,白栎,危害
栗大蚜,麻栎,危害
栗小爪螨,形纲,危害
栗小爪螨,山楂,危害
栗实象虫,板栗,危害
栗实象虫,茅栗,危害
栗实象虫,栎类,危害
栗实象虫,榛子,危害
栗瘿蜂,栗树,危害
银杏大蚕蛾,苹果,危害
银杏大蚕蛾,樱桃,危害
银杏大蚕蛾,核桃,危害
银杏大蚕蛾,银杏,危害
核桃灰斑病,核桃,危害
核桃白粉病,核桃,危害
核桃举肢蛾,核桃,危害
云斑天牛,核桃,危害
云斑天牛,苹果,危害
云斑天牛,核桃树,危害
核桃叶甲,核桃,危害
核桃叶甲,泡核桃,危害
核桃叶甲,枫杨,危害
褐边绿刺蛾,茶树,危害
褐边绿刺蛾,板栗,危害
黄刺蛾,李,危害
黄刺蛾,桃,危害
黄刺蛾,楂,危害
美国白蛾,苹果,危害
美国白蛾,海棠,危害
美国白蛾,山楂,危害
美国白蛾,樱桃,危害
美国白蛾,葡萄,危害
木橑尺蠖,为害,危害
木橑尺蠖,橑和核桃,危害
枣锈病,枣树,危害
枣焦叶病,枣树,危害
枣炭疽病,枣树,危害
枣树根朽病,枣树,危害
枣树腐烂病,枣树,危害
枣缩果病,枣果,危害
枣树根癌病,枣树,危害
枣疯病,枣树,危害
枣瘿蚊,害枣,危害
枣飞象,苹果,危害
枣飞象,核桃,危害
枣飞象,泡桐,危害
枣飞象,大豆,危害
红缘天牛,苹果,危害
梨二叉蚜,狗尾草,危害
梨笠圆盾蚧,苹果,危害
梨笠圆盾蚧,海棠,危害
梨笠圆盾蚧,山楂,危害
梨笠圆盾蚧,葡萄,危害
梨笠圆盾蚧,核桃,危害
梨笠圆盾蚧,柑橘,危害
梨笠圆盾蚧,柠檬,危害
梨笠圆盾蚧,醋栗,危害
梨笠圆盾蚧,樱桃,危害
梨笠圆盾蚧,草莓,危害
日本龟蜡蚧,柑,危害
日本龟蜡蚧,果,危害
日本龟蜡蚧,梨,危害
梨蝽,苹果,危害
梨蝽,山楂,危害
梨蝽,沙果,危害
梨蝽,樱桃,危害
梨蝽,海棠,危害
梨蝽,梨树,危害
梨蝽,梨果,危害
梨缩叶壁虱,杜梨,危害
梨缩叶壁虱,巴梨,危害
梨潜皮细蛾,苹果,危害
梨叶肿瘿螨,苹果,危害
梨茎蜂,梨树,危害
梨茎蜂,苹果,危害
梨茎蜂,海棠,危害
梨茎蜂,杜梨,危害
梨眼天牛,苹果,危害
梨眼天牛,海棠,危害
梨眼天牛,山楂,危害
梨眼天牛,仁果类,危害
梨小吉丁虫,枇杷,危害
梨小吉丁虫,锣木,危害
梨金缘吉丁,鞘翅,危害
梨金缘吉丁,吉丁,危害
梨金缘吉丁,梨,危害
梨金缘吉丁,苹果,危害
梨黄卷蛾,苹果,危害
梨黄卷蛾,樱桃,危害
梨黄卷蛾,大豆,危害
梨大叶蜂,山楂,危害
梨大叶蜂,樱桃,危害
梨大叶蜂,山定子,危害
梨大叶蜂,木瓜,危害
梨大绿蚜,苹果,危害
梨大绿蚜,枇杷,危害
梨大绿蚜,厚皮香,危害
盐源片盾蚧,苹果,危害
盐源片盾蚧,木瓜,危害
珀蝽,梨,危害
辽梨木虱,山梨,危害
辽梨木虱,白梨,危害
辽梨木虱,洋梨,危害
铜绿丽金龟,桃,危害
铜绿丽金龟,李,危害
铜绿丽金龟,樱,危害
白星花金龟,梨,危害
山楂叶斑病,山楂,危害
山楂花腐病,山楂,危害
山楂立枯病,山楂,危害
山楂小食心虫,山楂,危害
梨小食心虫,山楂,危害
梨小食心虫,苹果,危害
梨小食心虫,樱桃,危害
梨小食心虫,沙果,危害
梨小食心虫,山荆子,危害
梨小食心虫,海棠,危害
梨小食心虫,木瓜,危害
梨小食心虫,枇杷,危害
白小食心虫,苹果,危害
白小食心虫,樱桃,危害
白小食心虫,山楂,危害
白小食心虫,沙果,危害
白小食心虫,海棠,危害
山楂绢粉蝶,山楂,危害
山楂绢粉蝶,苹果,危害
山楂绢粉蝶,花红,危害
山楂绢粉蝶,冷杉,危害
山楂绢粉蝶,落叶松,危害
山楂花象甲,山楂,危害
山楂花象甲,山里红,危害
山楂萤叶甲,山楂,危害
山楂萤叶甲,苹果,危害
金环胡蜂,葡萄,危害
金环胡蜂,山楂,危害
金环胡蜂,苹果,危害
金环胡蜂,柑橘,危害
山楂喀木虱,山楂,危害
山楂喀木虱,山里红,危害
桃小食心虫,花红,危害
桃小食心虫,海棠,危害
桃小食心虫,山楂,危害
桃小食心虫,木瓜,危害
桃蛀螟,核桃,危害
桃蛀螟,无花果,危害
桃蛀螟,松树,危害
芽白小卷蛾,山楂,危害
芽白小卷蛾,海棠,危害
黄斑长翅卷叶蛾,苹果,危害
黄斑长翅卷叶蛾,杠梨,危害
黄斑长翅卷叶蛾,山荆子,危害
黄斑长翅卷叶蛾,海棠,危害
梨星毛虫,苹果,危害
梨星毛虫,海棠,危害
梨星毛虫,海红,危害
梨星毛虫,花红,危害
棉铃虫,苹果,危害
棉铃虫,柑橘,危害
棉铃虫,葡萄,危害
棉铃虫,无花果,危害
棉铃虫,草莓,危害
苹果球蚧,苹果,危害
苹果球蚧,梹沙果,危害
苹果球蚧,海棠,危害
苹果球蚧,山楂,危害
苹果球蚧,樱桃,危害
金缘吉丁虫,山楂,危害
金缘吉丁虫,苹果,危害
金缘吉丁虫,樱桃,危害
金缘吉丁虫,梹沙果,危害
旋纹潜叶蛾,苹果,危害
旋纹潜叶蛾,砂果,危害
舞毒蛾,樱桃,危害
舞毒蛾,柑橘,危害
舞毒蛾,稠李,危害
扁刺蛾,茶树,危害
扁刺蛾,苹果,危害
扁刺蛾,柑橘,危害
扁刺蛾,樱桃,危害
扁刺蛾,枇杷,危害
扁刺蛾,核桃,危害
扁刺蛾,芒果,危害
红棕灰夜蛾,茄子,危害
红棕灰夜蛾,胡萝卜,危害
红棕灰夜蛾,甜菜,危害
红棕灰夜蛾,草莓,危害
红棕灰夜蛾,枸杞,危害
红棕灰夜蛾,茼蒿,危害
红棕灰夜蛾,菜豆,危害
红棕灰夜蛾,草食蚕,危害
红棕灰夜蛾,豌豆,危害
红棕灰夜蛾,苜蓿,危害
红棕灰夜蛾,大豆,危害
红棕灰夜蛾,豇豆,危害
红棕灰夜蛾,黑莓,危害
桑褶翅尺蠖,苹果,危害
桑褶翅尺蠖,山楂,危害
桑褶翅尺蠖,核桃,危害
小青花金龟,海棠,危害
苹毛丽金龟,苹果,危害
苹毛丽金龟,樱桃,危害
苹毛丽金龟,海棠,危害
苹毛丽金龟,葡萄,危害
棉花弧丽金龟,棉花,危害
棉花弧丽金龟,玉米,危害
棉花弧丽金龟,高粱,危害
棉花弧丽金龟,大豆,危害
棉花弧丽金龟,月季,危害
棉花弧丽金龟,黑莓,危害
棉花弧丽金龟,玫瑰,危害
棉花弧丽金龟,芍药,危害
棉花弧丽金龟,合欢,危害
棉花弧丽金龟,板栗,危害
棉花弧丽金龟,苹果,危害
棉花弧丽金龟,弥猴桃,危害
东方盔蚧,苹果,危害
东方盔蚧,山楂,危害
东方盔蚧,葡萄,危害
绣线菊蚜,苹果,危害
绣线菊蚜,沙果,危害
桃炭疽病,桃树,危害
桃细菌性穿孔病,桃树,危害
桃煤污病,桃树,危害
苹毛虫,樱桃,危害
苹毛虫,苹果,危害
桃树木腐病,老桃树,危害
桃灰霉病,桃树,危害
桃白纹羽病,桃树,危害
桃瘿螨畸果病,桃树,危害
桃剑纹夜蛾,山楂,危害
桑剑纹夜蛾,山楂,危害
蓝目天蛾,苹果,危害
蓝目天蛾,樱桃,危害
褐刺蛾,柑,危害
双齿绿刺蛾,海棠,危害
双齿绿刺蛾,桃,危害
双齿绿刺蛾,梅,危害
中国绿刺蛾,苹果,危害
