entity,area,relation
枣焦叶病,甘肃,主要发生地
枣焦叶病,内蒙,主要发生地
枣焦叶病,安徽,主要发生地
枣焦叶病,浙江,主要发生地
枣炭疽病,河南,主要发生地
枣炭疽病,山西,主要发生地
枣炭疽病,陕西,主要发生地
枣炭疽病,安徽,主要发生地
枣轮纹病,河南,主要发生地
枣轮纹病,河北,主要发生地
枣轮纹病,山东,主要发生地
枣轮纹病,安徽,主要发生地
枣灰斑病,安徽,主要发生地
枣灰斑病,河南,主要发生地
枣飞象,河南,主要发生地
枣飞象,河北,主要发生地
枣飞象,山东,主要发生地
枣飞象,陕西,主要发生地
枣飞象,山西,主要发生地
枣飞象,辽宁,主要发生地
梨叶蜂,山东,主要发生地
梨叶蜂,河南,主要发生地
梨叶蜂,山西,主要发生地
梨叶蜂,四川,主要发生地
梨叶蜂,云南,主要发生地
梨叶蜂,江苏,主要发生地
梨黄粉蚜,辽宁,主要发生地
梨黄粉蚜,河北,主要发生地
梨黄粉蚜,山东,主要发生地
梨黄粉蚜,江苏,主要发生地
梨黄粉蚜,安徽,主要发生地
梨黄粉蚜,河南,主要发生地
梨黄粉蚜,陕西,主要发生地
中国梨木虱,河北,主要发生地
中国梨木虱,山东,主要发生地
中国梨木虱,山西,主要发生地
中国梨木虱,陕西,主要发生地
中国梨木虱,宁夏,主要发生地
中国梨木虱,安徽,主要发生地
梨潜皮细蛾,辽宁,主要发生地
梨潜皮细蛾,河北,主要发生地
梨潜皮细蛾,山东,主要发生地
梨潜皮细蛾,河南,主要发生地
梨潜皮细蛾,陕西,主要发生地
梨潜皮细蛾,甘肃,主要发生地
梨潜皮细蛾,四川,主要发生地
梨潜皮细蛾,江苏,主要发生地
梨潜皮细蛾,浙江,主要发生地
梨叶肿瘿螨,吉林,主要发生地
梨叶肿瘿螨,辽宁,主要发生地
梨叶肿瘿螨,河北,主要发生地
梨叶肿瘿螨,河南,主要发生地
梨叶肿瘿螨,山东,主要发生地
梨叶肿瘿螨,江苏,主要发生地
梨叶肿瘿螨,山西,主要发生地
梨叶肿瘿螨,宁夏,主要发生地
梨叶肿瘿螨,陕西,主要发生地
梨叶肿瘿螨,青海,主要发生地
梨叶肿瘿螨,新疆,主要发生地
梨叶肿瘿螨,四川,主要发生地
果红裙扁身夜蛾,湖北,主要发生地
果红裙扁身夜蛾,四川,主要发生地
山楂花腐病,吉林,主要发生地
山楂枯梢病,辽宁,主要发生地
山楂枯梢病,河南,主要发生地
山楂枯梢病,河北,主要发生地
山楂喀木虱,辽宁,主要发生地
山楂喀木虱,河北,主要发生地
山楂喀木虱,山西,主要发生地
芽白小卷蛾,华北,主要发生地
芽白小卷蛾,华东,主要发生地
芽白小卷蛾,西北,主要发生地
旋纹潜叶蛾,吉林,主要发生地
旋纹潜叶蛾,辽宁,主要发生地
旋纹潜叶蛾,河北,主要发生地
旋纹潜叶蛾,山西,主要发生地
旋纹潜叶蛾,陕西,主要发生地
旋纹潜叶蛾,宁夏,主要发生地
旋纹潜叶蛾,新疆,主要发生地
旋纹潜叶蛾,山东,主要发生地
旋纹潜叶蛾,江苏,主要发生地
旋纹潜叶蛾,河南,主要发生地
旋纹潜叶蛾,四川,主要发生地
旋纹潜叶蛾,贵州,主要发生地
红棕灰夜蛾,河北,主要发生地
红棕灰夜蛾,华东,主要发生地
红棕灰夜蛾,甘肃,主要发生地
红棕灰夜蛾,江西,主要发生地
东方盔蚧,东北,主要发生地
东方盔蚧,华北,主要发生地
东方盔蚧,西北,主要发生地
东方盔蚧,华东,主要发生地
苹毛虫,华北,主要发生地
苹毛虫,西北,主要发生地
苹毛虫,华东,主要发生地
李短尾蚜,北京,主要发生地
李短尾蚜,山东,主要发生地
李短尾蚜,河南,主要发生地
李短尾蚜,新疆,主要发生地
李短尾蚜,浙江,主要发生地
李短尾蚜,福建,主要发生地
李短尾蚜,台湾,主要发生地
李短尾蚜,四川,主要发生地
苹果树枝溃疡病,甘肃,主要发生地
苹果树枝溃疡病,山西,主要发生地
苹果树枝溃疡病,安徽,主要发生地
苹果树枝溃疡病,江苏,主要发生地
苹果花腐病,陕西,主要发生地
苹果花腐病,云南,主要发生地
苹果花腐病,四川,主要发生地
苹果疫腐病,北京,主要发生地
苹果黑点病,陕西,主要发生地
苹果黑点病,山西,主要发生地
苹果树赤衣病,江西,主要发生地
苹果树赤衣病,湖北,主要发生地
苹果树赤衣病,陕西,主要发生地
苹果毛根病,辽宁,主要发生地
苹果毛根病,河北,主要发生地
苹果毛根病,山东,主要发生地
苹果绿皱果病,甘肃,主要发生地
苹果绿皱果病,陕西,主要发生地
苹果绿皱果病,河南,主要发生地
苹果绿皱果病,辽宁,主要发生地
苹果皱叶病,河北,主要发生地
苹果皱叶病,天津,主要发生地
苹果扁枝病,陕西,主要发生地
苹果扁枝病,河南,主要发生地
苹果扁枝病,山西,主要发生地
苹果扁枝病,辽宁,主要发生地
苹褐卷叶蛾,东北,主要发生地
苹褐卷叶蛾,华北,主要发生地
苹褐卷叶蛾,西北,主要发生地
苹褐卷叶蛾,华东,主要发生地
苹褐卷叶蛾,华中,主要发生地
黄斑卷蛾,吉林,主要发生地
黄斑卷蛾,辽宁,主要发生地
黄斑卷蛾,北京,主要发生地
黄斑卷蛾,河北,主要发生地
黄斑卷蛾,山西,主要发生地
黄斑卷蛾,山东,主要发生地
黄斑卷蛾,河南,主要发生地
黄斑卷蛾,陕西,主要发生地
黄斑卷蛾,甘肃,主要发生地
苹果根绵蚜,东北,主要发生地
苹果根绵蚜,华北,主要发生地
苹果根绵蚜,西北,主要发生地
苹果根绵蚜,河南,主要发生地
苹果根绵蚜,山东,主要发生地
苹果根绵蚜,湖北,主要发生地
梨火疫病,河北,主要发生地
梨火疫病,北京,主要发生地
梨火疫病,天津,主要发生地
梨火疫病,河南,主要发生地
梨炭疽病,辽宁,主要发生地
梨炭疽病,河北,主要发生地
梨炭疽病,河南,主要发生地
梨炭疽病,山东,主要发生地
梨炭疽病,陕西,主要发生地
梨炭疽病,云南,主要发生地
梨炭疽病,江西,主要发生地
梨炭疽病,江苏,主要发生地
梨炭疽病,浙江,主要发生地
梨大食心虫,河北,主要发生地
梨大食心虫,山西,主要发生地
梨大食心虫,山东,主要发生地
梨大食心虫,河南,主要发生地
梨大食心虫,安徽,主要发生地
红蜘蛛,河北,主要发生地
红蜘蛛,北京,主要发生地
红蜘蛛,河南,主要发生地
红蜘蛛,辽东,主要发生地
红蜘蛛,江苏,主要发生地
红蜘蛛,广东,主要发生地
红蜘蛛,广西,主要发生地
瓜绢螟,河南,主要发生地
瓜绢螟,湖北,主要发生地
瓜绢螟,江西,主要发生地
瓜绢螟,贵州,主要发生地
瓜绢螟,广西,主要发生地
瓜绢螟,云南,主要发生地
瓜绢螟,江苏,主要发生地
瓜绢螟,浙江,主要发生地
瓜绢螟,福建,主要发生地
瓜绢螟,四川,主要发生地
瓜绢螟,广东,主要发生地
瓜绢螟,台湾,主要发生地
烟青虫,山东,主要发生地
烟青虫,河南,主要发生地
烟青虫,山西,主要发生地
烟青虫,陕西,主要发生地
烟青虫,安徽,主要发生地
烟青虫,江苏,主要发生地
烟青虫,湖北,主要发生地
烟青虫,浙江,主要发生地
烟青虫,四川,主要发生地
烟青虫,云南,主要发生地
瓜实蝇,江苏,主要发生地
瓜实蝇,福建,主要发生地
瓜实蝇,海南,主要发生地
瓜实蝇,广东,主要发生地
瓜实蝇,广西,主要发生地
瓜实蝇,贵州,主要发生地
瓜实蝇,云南,主要发生地
瓜实蝇,四川,主要发生地
瓜实蝇,湖南,主要发生地
瓜实蝇,台湾,主要发生地
扁豆夜蛾,四川,主要发生地
刺足根螨,辽宁,主要发生地
刺足根螨,吉林,主要发生地
刺足根螨,江苏,主要发生地
刺足根螨,上海,主要发生地
刺足根螨,浙江,主要发生地
刺足根螨,福建,主要发生地
刺足根螨,四川,主要发生地
枸杞木虱,宁夏,主要发生地
枸杞木虱,甘肃,主要发生地
枸杞木虱,新疆,主要发生地
枸杞木虱,陕西,主要发生地
枸杞木虱,河北,主要发生地
枸杞木虱,内蒙,主要发生地
十四点负泥甲,吉林,主要发生地
十四点负泥甲,辽宁,主要发生地
十四点负泥甲,北京,主要发生地
十四点负泥甲,河北,主要发生地
十四点负泥甲,山东,主要发生地
十四点负泥甲,江苏,主要发生地
十四点负泥甲,浙江,主要发生地
十四点负泥甲,福建,主要发生地
十四点负泥甲,陕西,主要发生地
十四点负泥甲,广西,主要发生地
莲潜叶摇蚊,安徽,主要发生地
莲潜叶摇蚊,湖北,主要发生地
茭白锈病,浙江,主要发生地
茭白锈病,江苏,主要发生地
茭白锈病,安徽,主要发生地
茭白锈病,湖北,主要发生地
茭白锈病,湖南,主要发生地
茭白锈病,广东,主要发生地
茭白锈病,广西,主要发生地
茭白锈病,台湾,主要发生地
茭白锈病,四川,主要发生地
黄色白禾螟,上海,主要发生地
黄色白禾螟,江苏,主要发生地
黄色白禾螟,安徽,主要发生地
黄色白禾螟,浙江,主要发生地
黄色白禾螟,湖南,主要发生地
黄色白禾螟,福建,主要发生地
盗毒蛾,华东,主要发生地
白雪灯蛾,青海,主要发生地
白雪灯蛾,陕西,主要发生地
白雪灯蛾,内蒙古,主要发生地
白雪灯蛾,河北,主要发生地
白雪灯蛾,河南,主要发生地
白雪灯蛾,山东,主要发生地
白雪灯蛾,浙江,主要发生地
白雪灯蛾,湖北,主要发生地
白雪灯蛾,江西,主要发生地
白雪灯蛾,湖南,主要发生地
白雪灯蛾,福建,主要发生地
白雪灯蛾,广西,主要发生地
白雪灯蛾,四川,主要发生地
白雪灯蛾,云南,主要发生地
斑鞘豆叶甲,黑龙江,主要发生地
斑鞘豆叶甲,河北,主要发生地
斑鞘豆叶甲,陕西,主要发生地
斑鞘豆叶甲,江苏,主要发生地
斑鞘豆叶甲,安徽,主要发生地
斑鞘豆叶甲,浙江,主要发生地
斑鞘豆叶甲,福建,主要发生地
斑鞘豆叶甲,台湾,主要发生地
斑鞘豆叶甲,广东,主要发生地
斑鞘豆叶甲,广西,主要发生地
斑鞘豆叶甲,四川,主要发生地
斑鞘豆叶甲,云南,主要发生地
豆叶螨,浙江,主要发生地
豆叶螨,江苏,主要发生地
豆叶螨,四川,主要发生地
豆叶螨,云南,主要发生地
豆叶螨,湖北,主要发生地
豆叶螨,福建,主要发生地
豆叶螨,台湾,主要发生地
盗毒蛾,华南,主要发生地
盗毒蛾,西南,主要发生地
盗毒蛾,东北,主要发生地
毛豆叶斑病,河南,主要发生地
毛豆叶斑病,山东,主要发生地
毛豆叶斑病,江苏,主要发生地
毛豆黑点病,东北,主要发生地
毛豆黑点病,河南,主要发生地
毛豆黑点病,山东,主要发生地
毛豆黑点病,江苏,主要发生地
毛豆黑点病,湖北,主要发生地
毛豆黑点病,四川,主要发生地
毛豆黑点病,云南,主要发生地
毛豆茎枯病,华北,主要发生地
茄无网蚜,青海,主要发生地
茄无网蚜,河北,主要发生地
茄无网蚜,山东,主要发生地
茄无网蚜,河南,主要发生地
茄无网蚜,浙江,主要发生地
茄无网蚜,四川,主要发生地
黄领麻纹灯蛾,湖南,主要发生地
黄领麻纹灯蛾,云南,主要发生地
黄领麻纹灯蛾,贵州,主要发生地
甘薯肖叶甲,东北,主要发生地
甘薯肖叶甲,华北,主要发生地
甘薯肖叶甲,西北,主要发生地
甘薯肖叶甲,华中,主要发生地
甘薯肖叶甲,西南,主要发生地
甘薯肖叶甲,华东,主要发生地
莴笋锈病,广西,主要发生地
莴笋锈病,云南,主要发生地
莴苣冬夜蛾,新疆,主要发生地
莴苣冬夜蛾,江西,主要发生地
莴苣冬夜蛾,辽宁,主要发生地
莴苣冬夜蛾,吉林,主要发生地
莴苣冬夜蛾,浙江,主要发生地
葡萄蔓割病,山东,主要发生地
葡萄叶斑病,河北,主要发生地
黑额光叶甲,辽宁,主要发生地
黑额光叶甲,河北,主要发生地
黑额光叶甲,北京,主要发生地
黑额光叶甲,山西,主要发生地
黑额光叶甲,陕西,主要发生地
黑额光叶甲,山东,主要发生地
黑额光叶甲,河南,主要发生地
黑额光叶甲,江苏,主要发生地
黑额光叶甲,安徽,主要发生地
黑额光叶甲,浙江,主要发生地
黑额光叶甲,湖北,主要发生地
黑额光叶甲,江西,主要发生地
黑额光叶甲,湖南,主要发生地
黑额光叶甲,福建,主要发生地
黑额光叶甲,台湾,主要发生地
黑额光叶甲,广东,主要发生地
黑额光叶甲,广西,主要发生地
黑额光叶甲,四川,主要发生地
黑额光叶甲,贵州,主要发生地
菜叶蜂,安徽,主要发生地
菜叶蜂,浙江,主要发生地
菜叶蜂,江西,主要发生地
菜叶蜂,福建,主要发生地
菜叶蜂,台湾,主要发生地
菜叶蜂,四川,主要发生地
菜叶蜂,云南,主要发生地
大猿叶甲,东北,主要发生地
大猿叶甲,甘肃,主要发生地
大猿叶甲,青海,主要发生地
大猿叶甲,河北,主要发生地
大猿叶甲,山西,主要发生地
大猿叶甲,山东,主要发生地
大猿叶甲,陕西,主要发生地
大猿叶甲,江苏,主要发生地
大猿叶甲,华南,主要发生地
大猿叶甲,西南,主要发生地
甜菜丛根病,山西,主要发生地
甜菜丛根病,甘肃,主要发生地
甜菜丛根病,宁夏,主要发生地
甜菜跳甲,湖北,主要发生地
甜菜跳甲,江西,主要发生地
甜菜跳甲,湖南,主要发生地
甜菜跳甲,浙江,主要发生地
甜菜跳甲,福建,主要发生地
甜菜跳甲,广东,主要发生地
甜菜跳甲,广西,主要发生地
甜菜跳甲,四川,主要发生地
甜菜跳甲,贵州,主要发生地
甜菜跳甲,黑龙江,主要发生地
甜菜白带野螟,黑龙江,主要发生地
甜菜白带野螟,吉林,主要发生地
甜菜白带野螟,辽宁,主要发生地
甜菜白带野螟,内蒙古,主要发生地
甜菜白带野螟,宁夏,主要发生地
甜菜白带野螟,青海,主要发生地
甜菜白带野螟,陕西,主要发生地
甜菜白带野螟,山西,主要发生地
甜菜白带野螟,北京,主要发生地
甜菜白带野螟,河北,主要发生地
甜菜白带野螟,山东,主要发生地
甜菜白带野螟,安徽,主要发生地
甜菜白带野螟,江苏,主要发生地
甜菜白带野螟,上海,主要发生地
甜菜白带野螟,浙江,主要发生地
甜菜白带野螟,江西,主要发生地
甜菜白带野螟,福建,主要发生地
甜菜白带野螟,台湾,主要发生地
甜菜白带野螟,湖南,主要发生地
甜菜白带野螟,湖北,主要发生地
甜菜白带野螟,广东,主要发生地
甜菜白带野螟,广西,主要发生地
甜菜白带野螟,贵州,主要发生地
甜菜白带野螟,重庆,主要发生地
甜菜白带野螟,四川,主要发生地
甜菜白带野螟,云南,主要发生地
甜菜白带野螟,西藏,主要发生地
黄草地螟,宁夏,主要发生地
黄草地螟,陕西,主要发生地
黄草地螟,新疆,主要发生地
黄草地螟,江苏,主要发生地
黄草地螟,四川,主要发生地
黄草地螟,云南,主要发生地
黄草地螟,山东,主要发生地
茶网饼病,安徽,主要发生地
茶网饼病,浙江,主要发生地
茶网饼病,江西,主要发生地
茶网饼病,福建,主要发生地
茶网饼病,广东,主要发生地
茶网饼病,四川,主要发生地
茶网饼病,贵州,主要发生地
茶网饼病,台湾,主要发生地
茶芽枯病,分布,主要发生地
茶芽枯病,安徽,主要发生地
茶芽枯病,浙江,主要发生地
茶芽枯病,湖南,主要发生地
茶芽枯病,江苏,主要发生地
茶芽枯病,江西,主要发生地
茶芽枯病,广东,主要发生地
茶红锈藻病,海南,主要发生地
茶红锈藻病,湖南,主要发生地
茶红锈藻病,浙江,主要发生地
茶红锈藻病,安徽,主要发生地
茶红锈藻病,江西,主要发生地
茶红锈藻病,湖北,主要发生地
茶红锈藻病,广西,主要发生地
茶红锈藻病,贵州,主要发生地
茶红锈藻病,云南,主要发生地
茶红锈藻病,台湾,主要发生地
茶白星病,福建,主要发生地
茶白星病,浙江,主要发生地
茶白星病,江西,主要发生地
茶白星病,湖南,主要发生地
茶白星病,四川,主要发生地
茶白星病,云南,主要发生地
茶白星病,贵州,主要发生地
茶褐色叶斑病,浙江,主要发生地
茶褐色叶斑病,安徽,主要发生地
茶褐色叶斑病,江苏,主要发生地
茶褐色叶斑病,湖南,主要发生地
茶褐色叶斑病,四川,主要发生地
茶褐色叶斑病,广东,主要发生地
茶苗白绢病,安徽,主要发生地
茶苗白绢病,湖北,主要发生地
茶苗白绢病,湖南,主要发生地
茶苗白绢病,广东,主要发生地
茶苗白绢病,四川,主要发生地
茶苗白绢病,云南,主要发生地
茶发毛病,安徽,主要发生地
茶发毛病,浙江,主要发生地
茶发毛病,广东,主要发生地
茶发毛病,云南,主要发生地
茶发毛病,贵州,主要发生地
茶发毛病,湖南,主要发生地
茶线腐病,广西,主要发生地
茶线腐病,云南,主要发生地
茶线腐病,海南,主要发生地
茶苗根结线虫病,安徽,主要发生地
茶苗根结线虫病,福建,主要发生地
茶苗根结线虫病,湖南,主要发生地
茶苗根结线虫病,广东,主要发生地
茶苗根结线虫病,广西,主要发生地
茶苗根结线虫病,云南,主要发生地
茶苗根结线虫病,四川,主要发生地
茶苗根结线虫病,台湾,主要发生地
茶苗根结线虫病,海南,主要发生地
茶枝黑痣病,安徽,主要发生地
茶枝黑痣病,浙江,主要发生地
茶枝黑痣病,湖南,主要发生地
茶枝黑痣病,云南,主要发生地
茶褐蓑蛾,江苏,主要发生地
茶褐蓑蛾,浙江,主要发生地
茶褐蓑蛾,安徽,主要发生地
茶褐蓑蛾,江西,主要发生地
茶褐蓑蛾,福建,主要发生地
茶褐蓑蛾,台湾,主要发生地
茶褐蓑蛾,湖南,主要发生地
茶褐蓑蛾,广东,主要发生地
茶褐蓑蛾,四川,主要发生地
茶褐蓑蛾,贵州,主要发生地
茶褐蓑蛾,云南,主要发生地
茶网蝽,广东,主要发生地
茶网蝽,贵州,主要发生地
茶网蝽,四川,主要发生地
茶网蝽,云南,主要发生地
椰圆蚧,云南,主要发生地
角蜡蚧,河北,主要发生地
角蜡蚧,山东,主要发生地
角蜡蚧,四川,主要发生地
角蜡蚧,云南,主要发生地
角蜡蚧,广东,主要发生地
角蜡蚧,广西,主要发生地
角蜡蚧,福建,主要发生地
角蜡蚧,浙江,主要发生地
角蜡蚧,江苏,主要发生地
角蜡蚧,湖北,主要发生地
角蜡蚧,湖南,主要发生地
角蜡蚧,贵州,主要发生地
茶梨蚧,安徽,主要发生地
茶梨蚧,江苏,主要发生地
茶梨蚧,浙江,主要发生地
茶梨蚧,广西,主要发生地
茶梨蚧,广东,主要发生地
茶梨蚧,福建,主要发生地
茶梨蚧,贵州,主要发生地
茶梨蚧,台湾,主要发生地
茶牡蛎蚧,安徽,主要发生地
茶牡蛎蚧,浙江,主要发生地
茶牡蛎蚧,上海,主要发生地
茶牡蛎蚧,福建,主要发生地
茶牡蛎蚧,台湾,主要发生地
茶牡蛎蚧,广东,主要发生地
茶牡蛎蚧,广西,主要发生地
茶牡蛎蚧,贵州,主要发生地
茶牡蛎蚧,四川,主要发生地
茶牡蛎蚧,云南,主要发生地
茶枝镰蛾,江苏,主要发生地
茶枝镰蛾,安徽,主要发生地
茶枝镰蛾,浙江,主要发生地
茶枝镰蛾,福建,主要发生地
茶枝镰蛾,江西,主要发生地
茶枝镰蛾,河南,主要发生地
茶枝镰蛾,湖南,主要发生地
