number,Chinese entity name,entity binomial scientific name,Chinese sym,English sym,Chinese relation,English relation
25,草莓蛇眼病,Colletotrichum acutatum,中央灰白色,Central off-white,存在症状,ManifestAs
26,草莓蛇眼病,Colletotrichum acutatum,病斑呈蛇眼状,The lesions are snake-eye-shaped,存在症状,ManifestAs
27,草莓白粉病,Colletotrichum acutatum,薄薄白色菌丝,Thin white mycelium,存在症状,ManifestAs
28,草莓白粉病,Colletotrichum acutatum,大小不等的暗色污斑,Dark spots of varying sizes,存在症状,ManifestAs
29,草莓白粉病,Colletotrichum acutatum,呈红褐色病斑,Reddish brown spots,存在症状,ManifestAs
30,草莓白粉病,Colletotrichum acutatum,叶缘开,Leaf margin open,存在症状,ManifestAs
31,草莓白粉病,Colletotrichum acutatum,叶片焦枯死亡,Leaves scorch and die,存在症状,ManifestAs
32,草莓白粉病,Colletotrichum acutatum,花萼萎蔫,Calyx wilting,存在症状,ManifestAs
33,草莓白粉病,Colletotrichum acutatum,授粉不良,Poor pollination,存在症状,ManifestAs
34,草莓白粉病,Colletotrichum acutatum,果实失去光,Fruit loses its light,存在症状,ManifestAs
35,草莓褐斑病,Podosphaera aphanis,褐紫色小圆斑,Small round brown spots,存在症状,ManifestAs
36,草莓褐斑病,Podosphaera aphanis,圆形至椭圆形或不定形斑,Round to oval or irregular spots,存在症状,ManifestAs
37,草莓褐斑病,Podosphaera aphanis,边缘紫褐色,Edge purple brown,存在症状,ManifestAs
38,草莓灰霉病,Botrytis cinerea,花萼呈水渍状针眼大的小斑点,The calyx has water-soaked spots as big as pinholes,存在症状,ManifestAs
39,草莓灰霉病,Botrytis cinerea,近圆形或不规则形病斑,Nearly circular or irregular lesions,存在症状,ManifestAs
40,草莓灰霉病,Botrytis cinerea,水渍状病斑,Water-soaked spots,存在症状,ManifestAs
41,草莓灰霉病,Botrytis cinerea,灰褐霉层,Gray brown mold layer,存在症状,ManifestAs
42,草莓灰霉病,Botrytis cinerea,果顶呈水渍状病斑,Water-soaked spots on the top of the fruit,存在症状,ManifestAs
43,草莓灰霉病,Botrytis cinerea,褐色病斑,Brown spots,存在症状,ManifestAs
44,草莓灰霉病,Botrytis cinerea,病果呈干腐状,The diseased fruit is dry and rotten,存在症状,ManifestAs
45,草莓灰霉病,Botrytis cinerea,呈水渍状小斑点,Small water-stained spots,存在症状,ManifestAs
46,草莓灰霉病,Botrytis cinerea,半圆形,Semicircular,存在症状,ManifestAs
47,草莓灰霉病,Botrytis cinerea,近圆形或不规则灰褐色大病斑,Nearly circular or irregular gray-brown large lesions,存在症状,ManifestAs
48,草莓灰霉病,Botrytis cinerea,叶片腐烂,Leaf rot,存在症状,ManifestAs
49,草莓灰霉病,Botrytis cinerea,灰褐色霉状物,Gray-brown mold,存在症状,ManifestAs
50,草莓灰霉病,Botrytis cinerea,早期落叶,Early leaf drop,存在症状,ManifestAs
51,草莓青枯病,Bacterial wilt,呈铁锈色斑点,Rusty spots,存在症状,ManifestAs
52,草莓青枯病,Bacterial wilt,呈铁锈色,Rusty,存在症状,ManifestAs
53,草莓青枯病,Bacterial wilt,先呈褐色,First brown,存在症状,ManifestAs
54,草莓青枯病,Bacterial wilt,酸臭气味,Sour smell,存在症状,ManifestAs
55,草莓细菌性叶斑病,Bacterial leaf spot,水浸状红褐色不规则形病斑,Water-soaked reddish-brown irregular lesions,存在症状,ManifestAs
56,草莓细菌性叶斑病,Bacterial leaf spot,淡红褐色而干枯,Light reddish brown and dry,存在症状,ManifestAs
57,草莓病毒病,Strawberry virus disease,病株叶片皱缩,Diseased plant leaves shrunken,存在症状,ManifestAs
58,草莓病毒病,Strawberry virus disease,叶片畸形,Leaf deformity,存在症状,ManifestAs
59,草莓病毒病,Strawberry virus disease,褪绿斑,Chlorotic spots,存在症状,ManifestAs
60,草莓病毒病,Strawberry virus disease,不规则的褪绿斑,Irregular chlorotic spots,存在症状,ManifestAs
61,草莓病毒病,Strawberry virus disease,叶脉褪绿,Leaf vein chlorosis,存在症状,ManifestAs
62,草莓病毒病,Strawberry virus disease,扭曲皱缩,Twisted and wrinkled,存在症状,ManifestAs
63,草莓病毒病,Strawberry virus disease,小叶黄化,Leaf yellowing,存在症状,ManifestAs
64,草莓病毒病,Strawberry virus disease,叶柄缩短,Shortened petiole,存在症状,ManifestAs
65,草莓病毒病,Strawberry virus disease,植株矮化,Plant dwarfing,存在症状,ManifestAs
66,草莓病毒病,Strawberry virus disease,果实变小,Fruits become smaller,存在症状,ManifestAs
67,草莓畸形果,Fragaria × ananassa,呈鸡冠状或扁平状,Cockscomb-shaped or flat,存在症状,ManifestAs
68,草莓缺素症,Strawberry deficiency,幼叶呈浅绿色,Young leaves are light green,存在症状,ManifestAs
69,草莓缺素症,Strawberry deficiency,锯齿状红色,Jagged Red,存在症状,ManifestAs
70,草莓缺素症,Strawberry deficiency,老叶变黄,Old leaves turn yellow,存在症状,ManifestAs
71,草莓缺素症,Strawberry deficiency,呈紫褐色斑点,Purple-brown spots,存在症状,ManifestAs
72,草莓缺素症,Strawberry deficiency,褐色小斑点,Small brown spots,存在症状,ManifestAs
73,草莓缺素症,Strawberry deficiency,暗褐色的斑点,Dark brown spots,存在症状,ManifestAs
74,草莓缺素症,Strawberry deficiency,褐变或干枯,Browning or drying,存在症状,ManifestAs
75,草莓缺素症,Strawberry deficiency,嫩叶叶褪绿变黄,Young leaves turn green and yellow,存在症状,ManifestAs
76,草莓缺素症,Strawberry deficiency,叶片小而薄,Small and thin leaves,存在症状,ManifestAs
77,草莓缺素症,Strawberry deficiency,叶缘变为灰褐色枯死,The leaf edges turn gray-brown and die,存在症状,ManifestAs
78,草莓缺素症,Strawberry deficiency,新叶叶脉间失绿,Interveinal chlorosis of new leaves,存在症状,ManifestAs
79,草莓V型褐斑病,Strawberry leaf blight,紫褐色小斑,Purple-brown spots,存在症状,ManifestAs
80,草莓V型褐斑病,Strawberry leaf blight,不规则形大斑,Irregular large spots,存在症状,ManifestAs
81,草莓V型褐斑病,Strawberry leaf blight,四周暗绿色至黄绿色,Dark green to yellowish green around,存在症状,ManifestAs
82,草莓V型褐斑病,Strawberry leaf blight,病斑褐色,Brown spots,存在症状,ManifestAs
83,草莓V型褐斑病,Strawberry leaf blight,四周浓褐色,Dark brown all around,存在症状,ManifestAs
84,草莓V型褐斑病,Strawberry leaf blight,黑褐色小粒点,Dark brown small spots,存在症状,ManifestAs
85,草莓丝核菌芽枯病,Rhizoctonia fragariae,青枯或猝倒,Withering or damping off,存在症状,ManifestAs
86,草莓丝核菌芽枯病,Rhizoctonia fragariae,变黑褐色枯死,Turns dark brown and dies,存在症状,ManifestAs
87,草莓丝核菌芽枯病,Rhizoctonia fragariae,叶呈垂倒状,The leaves are drooping,存在症状,ManifestAs
88,草莓终极腐霉烂果病,Pythium ultimum,病部初呈水渍状,The diseased part initially appears as water stains,存在症状,ManifestAs
89,草莓革腐病,Phytophthora fragariae,失水状,Dehydration,存在症状,ManifestAs
90,草莓革腐病,Phytophthora fragariae,果实呈淡褐色水烫状斑,The fruit has light brown water-scald spots,存在症状,ManifestAs
91,草莓革腐病,Phytophthora fragariae,病部褪色失去光泽,The diseased part fades and loses its luster,存在症状,ManifestAs
92,草莓革腐病,Phytophthora fragariae,皮革状发硬,Leathery hardness,存在症状,ManifestAs
93,草莓革腐病,Phytophthora fragariae,白色菌丝,White mycelium,存在症状,ManifestAs
94,草莓革腐病,Phytophthora fragariae,匍匐茎发干萎蔫,The runners are dry and wilting,存在症状,ManifestAs
95,草莓轮斑病,Diplocarpon earlianum,红褐色的小斑点,Small reddish brown spots,存在症状,ManifestAs
96,草莓轮斑病,Diplocarpon earlianum,中间呈灰褐色或灰白色,Grayish brown or grayish white in the middle,存在症状,ManifestAs
97,草莓轮斑病,Diplocarpon earlianum,边缘褐色,Edge brown,存在症状,ManifestAs
98,草莓轮斑病,Diplocarpon earlianum,外围呈紫黑色,Purple-black outer layer,存在症状,ManifestAs
99,草莓轮斑病,Diplocarpon earlianum,叶片组织枯死,Leaf tissue death,存在症状,ManifestAs
100,草莓轮斑病,Diplocarpon earlianum,全叶片变褐枯死,The entire leaf turns brown and dies,存在症状,ManifestAs
101,草莓轮斑病,Diplocarpon earlianum,不规则轮状排列的褐色或黑褐色小粒点,Brown or dark brown small spots arranged in irregular circles,存在症状,ManifestAs
102,斜纹夜蛾,Spodoptera litura,筛网状花叶,Sieve-like mosaic,存在症状,ManifestAs
103,斜纹夜蛾,Spodoptera litura,叶片吃光,Eat all the leaves,存在症状,ManifestAs
104,斜纹夜蛾,Spodoptera litura,花冠被吃或残缺不全,The corolla is eaten or incomplete,存在症状,ManifestAs
105,斜纹夜蛾,Spodoptera litura,成落,Success,存在症状,ManifestAs
106,斜纹夜蛾,Spodoptera litura,烂铃或落铃,Broken or dropped bells,存在症状,ManifestAs
107,桃蚜,Myzus persicae,背面不规则的卷曲皱缩,Irregular curling and wrinkling on the back,存在症状,ManifestAs
108,萝卜蚜,Lipaphis erysimi,叶片受害卷曲,Damaged leaves curling,存在症状,ManifestAs
109,萝卜蚜,Lipaphis erysimi,植株矮缩,Plant dwarfing,存在症状,ManifestAs
110,萝卜蚜,Lipaphis erysimi,叶片枯死,Leaf death,存在症状,ManifestAs
111,小地老虎,Agrotis ipsilon,小缺刻或网孔状,Small notch or mesh,存在症状,ManifestAs
112,小地老虎,Agrotis ipsilon,缺苗断垄,Missing seedlings and broken ridges,存在症状,ManifestAs
113,东方蝼蛄,Gryllotalpa orientalis,根部呈乱麻状,The roots are tangled,存在症状,ManifestAs
114,东方蝼蛄,Gryllotalpa orientalis,缺苗断垄,Missing seedlings and broken ridges,存在症状,ManifestAs
115,枣尺蠖,Chihuo zao,孔洞和缺刻,Holes and Notches,存在症状,ManifestAs
116,枣尺蠖,Chihuo zao,叶片食光,Leaf eating light,存在症状,ManifestAs
117,黄刺蛾,Monema flavescens,缺刻和孔洞,Nicks and holes,存在症状,ManifestAs
118,枣奕刺蛾,Iragoides conjuncta,罗底状半透明斑,Translucent spot,存在症状,ManifestAs
119,枣奕刺蛾,Iragoides conjuncta,缺刻或孔洞,Notches or holes,存在症状,ManifestAs
120,枣奕刺蛾,Iragoides conjuncta,叶片吃光,Eat all the leaves,存在症状,ManifestAs
121,桃小食心虫,Carposina sasakii,泪珠状果胶,Teardrop Pectin,存在症状,ManifestAs
122,桃小食心虫,Carposina sasakii,呈白色蜡质粉末,White waxy powder,存在症状,ManifestAs
123,桃小食心虫,Carposina sasakii,小黑点略凹陷,Small black spot slightly sunken,存在症状,ManifestAs
124,梨圆蚧,Diaspidiotus perniciosus,呈红色圆斑,Red round spots,存在症状,ManifestAs
125,梨圆蚧,Diaspidiotus perniciosus,一圈红晕,A blush,存在症状,ManifestAs
126,梨圆蚧,Diaspidiotus perniciosus,果面龟裂,Fruit surface cracking,存在症状,ManifestAs
127,草履蚧,Drosicha corpulenta,白色絮状或粉状物,White flocculent or powdery substance,存在症状,ManifestAs
128,草履蚧,Drosicha corpulenta,树势衰弱,Tree weakness,存在症状,ManifestAs
129,草履蚧,Drosicha corpulenta,叶片生长不良,Poor leaf growth,存在症状,ManifestAs
130,康氏粉蚧,Pseudococcus comstocki,褐色圆点,Brown dots,存在症状,ManifestAs
131,康氏粉蚧,Pseudococcus comstocki,白色蜡粉,White wax powder,存在症状,ManifestAs
132,康氏粉蚧,Pseudococcus comstocki,斑点木栓化,Spotted cork,存在症状,ManifestAs
133,康氏粉蚧,Pseudococcus comstocki,枝皮肿胀,Swelling of branch bark,存在症状,ManifestAs
134,枣壁虱,Eriophyes sp.,厚叶片质脆,"Thick, brittle leaves",存在症状,ManifestAs
135,枣壁虱,Eriophyes sp.,力整叶焦枯,Leaves scorched,存在症状,ManifestAs
136,八点广翅蜡蝉,Ricania speculum,削弱树势,Weakening the tree,存在症状,ManifestAs
137,柿疯病,Persimmon wilt,萌芽迟,Late germination,存在症状,ManifestAs
138,柿疯病,Persimmon wilt,展叶抽梢慢,Slow leafing and shoot growth,存在症状,ManifestAs
139,柿疯病,Persimmon wilt,叶脉变黑,Leaf veins turn black,存在症状,ManifestAs
140,柿疯病,Persimmon wilt,主脉变黑,The main vein turns black,存在症状,ManifestAs
141,柿疯病,Persimmon wilt,支脉变黑,The branch veins turn black,存在症状,ManifestAs
142,柿疯病,Persimmon wilt,网脉变黑,The veins turn black,存在症状,ManifestAs
143,柿疯病,Persimmon wilt,凹凸不平,Uneven,存在症状,ManifestAs
144,柿疯病,Persimmon wilt,叶大而薄,Large and thin leaves,存在症状,ManifestAs
145,柿疯病,Persimmon wilt,果面凹凸,Fruit surface bumps,存在症状,ManifestAs
146,柿疯病,Persimmon wilt,陷柿果变成橘,Persimmon fruit turns into orange,存在症状,ManifestAs
147,柿炭疽病,Gloeosporium kaki,黑色圆形小斑点,Small black round spots,存在症状,ManifestAs
148,柿炭疽病,Gloeosporium kaki,褐色纵裂,Brown longitudinal cracks,存在症状,ManifestAs
149,柿炭疽病,Gloeosporium kaki,红色粘状物,Red sticky substance,存在症状,ManifestAs
150,柿炭疽病,Gloeosporium kaki,病斑呈长条形或不规则形,The lesions are long or irregular in shape,存在症状,ManifestAs
151,柿炭疽病,Gloeosporium kaki,针头大小深褐色小斑点,Pinhead-sized dark brown spots,存在症状,ManifestAs
152,柿炭疽病,Gloeosporium kaki,圆形病斑,Circular lesions,存在症状,ManifestAs
153,柿炭疽病,Gloeosporium kaki,上时病斑,On time spot,存在症状,ManifestAs
154,柿炭疽病,Gloeosporium kaki,粉红色粘液状的分,Pink mucus,存在症状,ManifestAs
155,柿炭疽病,Gloeosporium kaki,黑硬结块,Black hard lumps,存在症状,ManifestAs
156,柿灰霉病,Botrytis cinerea,叶缘失水呈淡绿色,The leaf margins lose water and turn light green,存在症状,ManifestAs
157,柿灰霉病,Botrytis cinerea,周缘呈波纹状,The periphery is corrugated,存在症状,ManifestAs
158,柿灰霉病,Botrytis cinerea,灰色霉,Gray mold,存在症状,ManifestAs
159,柿灰霉病,Botrytis cinerea,灰色霉层,Gray mold layer,存在症状,ManifestAs
160,柿角斑病,Cercospora kaki,黄绿色病斑,Yellow-green spots,存在症状,ManifestAs
161,柿角斑病,Cercospora kaki,不规则形,Irregular,存在症状,ManifestAs
162,柿角斑病,Cercospora kaki,边缘不清晰,The edge is not clear,存在症状,ManifestAs
163,柿角斑病,Cercospora kaki,叶脉变黑色,Leaf veins turn black,存在症状,ManifestAs
164,柿角斑病,Cercospora kaki,呈多角形,Polygonal,存在症状,ManifestAs
165,柿角斑病,Cercospora kaki,黑色绒状小粒点,Black velvety small dots,存在症状,ManifestAs
166,柿角斑病,Cercospora kaki,边缘黑色,Edge Black,存在症状,ManifestAs
167,柿角斑病,Cercospora kaki,背面淡黄色,Back light yellow,存在症状,ManifestAs
168,柿角斑病,Cercospora kaki,后期褐色或黑褐色,Late brown or dark brown,存在症状,ManifestAs
169,柿角斑病,Cercospora kaki,边缘黑色或不明显,Black or unclear edges,存在症状,ManifestAs
170,柿角斑病,Cercospora kaki,柿果变软,Persimmon fruit softens,存在症状,ManifestAs
171,柿角斑病,Cercospora kaki,果面,Fruit Noodles,存在症状,ManifestAs
172,柿角斑病,Cercospora kaki,呈放射状硬黑斑且凹陷,Radial hard black spots and depressions,存在症状,ManifestAs
173,柿圆斑病,Mycosphaerella nawae,圆形小斑,Small round spots,存在症状,ManifestAs
174,柿圆斑病,Mycosphaerella nawae,边缘不明显,The edge is not obvious,存在症状,ManifestAs
175,柿圆斑病,Mycosphaerella nawae,正面浅褐色,Front light brown,存在症状,ManifestAs
176,柿圆斑病,Mycosphaerella nawae,中心色浅,Light center color,存在症状,ManifestAs
177,柿圆斑病,Mycosphaerella nawae,黑色边缘,Black edge,存在症状,ManifestAs
178,柿圆斑病,Mycosphaerella nawae,黄绿色晕环,Yellow-green halo,存在症状,ManifestAs
179,柿圆斑病,Mycosphaerella nawae,黑色小粒点,Black small dots,存在症状,ManifestAs
180,柿圆斑病,Mycosphaerella nawae,仅留柿果,Only persimmon fruit left,存在症状,ManifestAs
181,柿圆斑病,Mycosphaerella nawae,病斑圆形褐色,Round brown spots,存在症状,ManifestAs
182,柿红叶枯病,Pestalotiopsis diospyri,早期落叶,Early leaf drop,存在症状,ManifestAs
183,柿红叶枯病,Pestalotiopsis diospyri,病斑红褐色,Reddish brown lesions,存在症状,ManifestAs
184,柿红叶枯病,Pestalotiopsis diospyri,不规则形,Irregular,存在症状,ManifestAs
185,柿红叶枯病,Pestalotiopsis diospyri,黑色小粒点,Black small dots,存在症状,ManifestAs
186,柿黑星病,Black spot of persimmon,淡褐色病斑,Light brown spots,存在症状,ManifestAs
187,柿黑星病,Black spot of persimmon,纺锤形或椭圆形,Spindle or oval,存在症状,ManifestAs
188,柿黑星病,Black spot of persimmon,严重时病斑,Severe lesions,存在症状,ManifestAs
189,柿黑星病,Black spot of persimmon,开裂呈溃疡状或折,Ulceration or fracture,存在症状,ManifestAs
190,柿黑星病,Black spot of persimmon,病斑近圆形,Nearly circular lesions,存在症状,ManifestAs
191,柿黑星病,Black spot of persimmon,病斑中央褐色,Brown center of lesion,存在症状,ManifestAs
192,柿黑星病,Black spot of persimmon,边缘黑色,Edge Black,存在症状,ManifestAs
193,柿黑星病,Black spot of persimmon,黄色晕圈,Yellow halo,存在症状,ManifestAs
194,柿黑星病,Black spot of persimmon,黑色霉状物,Black mold,存在症状,ManifestAs
195,柿黑星病,Black spot of persimmon,圆形或不规则形,Round or irregular shape,存在症状,ManifestAs
196,柿黑星病,Black spot of persimmon,稍硬化呈疮痂状,Slightly hardened and scab-like,存在症状,ManifestAs
197,柿白纹羽病,Phytophthora cactorum,白色或灰白色的丝网状物,White or off-white silk mesh,存在症状,ManifestAs
198,柿白纹羽病,Phytophthora cactorum,黑色圆形的菌核,Black round sclerotium,存在症状,ManifestAs
199,柿白纹羽病,Phytophthora cactorum,灰白色或灰褐色的薄绒布状物,Grayish white or grayish brown velvet-like substance,存在症状,ManifestAs
200,柿蒂虫,Kakivoria flavofasciata,初呈黄绿色小点,Initially yellow-green dots,存在症状,ManifestAs
201,折带黄毒蛾,Euproctis flava,缺刻或孔洞,Notches or holes,存在症状,ManifestAs
202,折带黄毒蛾,Euproctis flava,叶片吃光,Eat all the leaves,存在症状,ManifestAs
203,褐点粉灯蛾,Alphaea phasma,叶缘成缺刻,Leaf margin notched,存在症状,ManifestAs
204,褐点粉灯蛾,Alphaea phasma,受害叶卷曲枯黄,The affected leaves curl and turn yellow,存在症状,ManifestAs
205,柿小叶蝉,Eurhadina kurokoi,全叶苍白,The whole leaf is pale,存在症状,ManifestAs
206,柿小叶蝉,Eurhadina kurokoi,树势衰弱,Tree weakness,存在症状,ManifestAs
207,柿绒蚧,Eriococcus kaki,呈畸形早落,Deformed and premature,存在症状,ManifestAs
208,柿绒蚧,Eriococcus kaki,初呈黄绿小点,Initially yellow-green dots,存在症状,ManifestAs
209,柿梢鹰夜蛾,Hypocala moorei,食叶残缺不全,Incomplete leaf feeding,存在症状,ManifestAs
210,苹果梢夜蛾,Hypocala subsatura,叶片向上纵卷,Leaves curl upward,存在症状,ManifestAs
211,苹果梢夜蛾,Hypocala subsatura,缺刻或孔洞,Notches or holes,存在症状,ManifestAs
212,木橑尺蠖,Culcula panterinaria,缺刻和孔洞,Nicks and holes,存在症状,ManifestAs
213,黑圆角蝉,Gargara genistae,树势衰弱,Tree weakness,存在症状,ManifestAs
214,铜绿丽金龟,Anomala corpulenta,叶片残缺不全,Incomplete leaves,存在症状,ManifestAs
215,铜绿丽金龟,Anomala corpulenta,仅留叶柄,Only petiole remains,存在症状,ManifestAs
216,石榴干腐病,Phomopsis punicae,椭圆形暗褐色病斑,Oval dark brown spots,存在症状,ManifestAs
217,石榴干腐病,Phomopsis punicae,带状条斑,Banded stripes,存在症状,ManifestAs
218,石榴干腐病,Phomopsis punicae,明显凹陷的黑褐色干斑,Obvious sunken dark brown dry spots,存在症状,ManifestAs
219,石榴干腐病,Phomopsis punicae,枝干干缩枯死,Branches shrink and die,存在症状,ManifestAs
220,石榴干腐病,Phomopsis punicae,黑褐色椭圆形凹陷小斑,Dark brown oval sunken spots,存在症状,ManifestAs
221,石榴干腐病,Phomopsis punicae,不规则的浅褐色病斑,Irregular light brown spots,存在症状,ManifestAs
222,石榴干腐病,Phomopsis punicae,中间深褐色,Middle dark brown,存在症状,ManifestAs
223,石榴干腐病,Phomopsis punicae,边缘浅褐色的凹陷病斑,Sunken lesions with light brown edges,存在症状,ManifestAs
224,石榴干腐病,Phomopsis punicae,果实变褐腐烂,Fruit turns brown and rots,存在症状,ManifestAs
225,石榴黑斑病,Pseudocercospora punicae,针眼状小黑点,Pinhole-shaped black spots,存在症状,ManifestAs
226,石榴黑斑病,Pseudocercospora punicae,圆形至多角状不规则斑,Circular to polygonal irregular spots,存在症状,ManifestAs
227,石榴黑斑病,Pseudocercospora punicae,5mm深褐色,5mm dark brown,存在症状,ManifestAs
228,石榴黑斑病,Pseudocercospora punicae,黑褐色边缘常呈黑,Dark brown often with black edges,存在症状,ManifestAs
229,石榴黑斑病,Pseudocercospora punicae,起叶片提早枯落,Early leaf fall,存在症状,ManifestAs
230,石榴根结线虫病,Root-knot nematode disease,根结表而光滑,Root knot surface and smooth,存在症状,ManifestAs
231,石榴根结线虫病,Root-knot nematode disease,叶片发黄,Yellowing leaves,存在症状,ManifestAs
232,石榴巾夜蛾,Parallelia stuposa,叶片吃光,Eat all the leaves,存在症状,ManifestAs
233,石榴茎窗蛾,Herminia dolosa,树势衰弱,Tree weakness,存在症状,ManifestAs
234,石榴疮痂病,Pseudomonas syringae,病斑初呈水湿状,The lesions initially appear wet,存在症状,ManifestAs
235,石榴疮痂病,Pseudomonas syringae,紫褐色直至黑褐色,Purple brown to dark brown,存在症状,ManifestAs
236,石榴疮痂病,Pseudomonas syringae,病斑圆形至椭圆形,Lesions are round to oval,存在症状,ManifestAs
237,石榴疮痂病,Pseudomonas syringae,合成不规则疮,Synthetic irregular sores,存在症状,ManifestAs
238,石榴疮痂病,Pseudomonas syringae,淡红色粉状物,Light red powder,存在症状,ManifestAs
239,樗蚕蛾,Samia cynthia,许多孔洞和缺刻,Many holes and nicks,存在症状,ManifestAs
240,石榴绒蚧,Eriococcus lagerstroemiae,树枝瘿弱叶黄,Weak branches and yellow leaves,存在症状,ManifestAs
241,石榴绒蚧,Eriococcus lagerstroemiae,树势衰弱,Tree weakness,存在症状,ManifestAs
242,麻皮蝽,Erthesina fullo,叶脉变黑,Leaf veins turn black,存在症状,ManifestAs
243,柑橘疮痂病,Citrus scab,油渍状小点,Oily spots,存在症状,ManifestAs
244,柑橘疮痂病,Citrus scab,蜡黄色,Wax yellow,存在症状,ManifestAs
245,柑橘疮痂病,Citrus scab,木栓化,Suberization,存在症状,ManifestAs
246,柑橘疮痂病,Citrus scab,突起呈圆锥状或,The protrusion is cone-shaped or,存在症状,ManifestAs
247,柑橘疮痂病,Citrus scab,病斑凹陷,Lesion depression,存在症状,ManifestAs
248,柑橘疮痂病,Citrus scab,叶片扭曲,Twisted blades,存在症状,ManifestAs
249,柑橘疮痂病,Citrus scab,呈茶褐色腐败而落果,"Brownish brown, decayed, and falling fruit",存在症状,ManifestAs
250,柑橘疮痂病,Citrus scab,果面凹凸不平,Uneven fruit surface,存在症状,ManifestAs
251,柑橘疮痂病,Citrus scab,呈癣皮状脱落,Ringworm-like peeling,存在症状,ManifestAs
252,柑橘脂点黄斑病,Greasy spot,针头大小的褪色小点,Pinhead-sized discolored spots,存在症状,ManifestAs
253,柑橘脂点黄斑病,Greasy spot,黄色斑块,Yellow patches,存在症状,ManifestAs
254,柑橘脂点黄斑病,Greasy spot,疤疹状淡黄色突起小粒点,Scar-like pale yellow raised small spots,存在症状,ManifestAs
255,柑橘脂点黄斑病,Greasy spot,暗褐色至黑褐色的脂斑,Dark brown to dark brown lipid spots,存在症状,ManifestAs
256,柑橘脂点黄斑病,Greasy spot,不规则的黄色斑块,Irregular yellow patches,存在症状,ManifestAs
257,柑橘脂点黄斑病,Greasy spot,淡褐色至黑褐色的疤疹状小粒点,Light brown to dark brown scar-like small spots,存在症状,ManifestAs
258,柑橘脂点黄斑病,Greasy spot,赤褐色芝麻粒大小的近圆形斑点,"Reddish brown sesame-sized, nearly circular spots",存在症状,ManifestAs
259,柑橘脂点黄斑病,Greasy spot,斑灰,Gray,存在症状,ManifestAs
260,柑橘脂点黄斑病,Greasy spot,色边缘颜色深且,The color edge is dark and,存在症状,ManifestAs
261,柑橘脂点黄斑病,Greasy spot,褐色小圆星型,Brown small round star,存在症状,ManifestAs
262,柑橘脂点黄斑病,Greasy spot,褐色小斑点,Small brown spots,存在症状,ManifestAs
263,柑橘炭疽病,Colletotrichum,近圆形或不规则形,Nearly round or irregular,存在症状,ManifestAs
264,柑橘炭疽病,Colletotrichum,浅灰褐色,Light gray brown,存在症状,ManifestAs
265,柑橘炭疽病,Colletotrichum,边缘褐色,Edge brown,存在症状,ManifestAs
