entity,part,relation
葡萄根癌病,根部,危害部位
葡萄扇叶病,黄化,危害部位
葡萄栓皮病,枝干,危害部位
葡萄茎痘病,枝干,危害部位
葡萄黄金病,枝干,危害部位
葡萄花叶病,叶片,危害部位
葡萄花叶病,果实,危害部位
葡萄花叶病,植株,危害部位
葡萄根结线虫病,根部,危害部位
葡萄缺铁病,根部,危害部位
葡萄缺镁病,叶部,危害部位
葡萄缺钾病,叶部,危害部位
葡萄缺锌病,叶部,危害部位
猕猴桃褐腐病,枝干,危害部位
猕猴桃灰霉病,叶部,危害部位
猕猴桃溃疡病,枝干,危害部位
栗白粉病,枝干,危害部位
栗炭疽病,枝干,危害部位
栗炭疽病,叶片,危害部位
栗炭疽病,果实,危害部位
核桃树腐烂病,幼树,危害部位
核桃树腐烂病,枝条,危害部位
核桃炭疽病,叶部,危害部位
核桃褐斑病,枝干,危害部位
枣焦叶病,叶片,危害部位
枣焦叶病,果实,危害部位
枣焦叶病,植株,危害部位
枣炭疽病,果实,危害部位
枣炭疽病,叶片,危害部位
枣轮纹病,枝干,危害部位
枣轮纹病,果实,危害部位
枣树根朽病,根系,危害部位
枣树根朽病,叶片,危害部位
枣树根癌病,根部,危害部位
枣树根癌病,植株,危害部位
枣疯病,根部,危害部位
枣疯病,枝条,危害部位
枣疯病,叶片,危害部位
枣疯病,花器,危害部位
枣疯病,全株,危害部位
山楂花腐病,枝干,危害部位
山楂花腐病,叶片,危害部位
山楂花腐病,果实,危害部位
桃褐斑穿孔病,叶片,危害部位
桃褐斑穿孔病,枝梢 ,危害部位
桃褐斑穿孔病,果实,危害部位
桃缩叶病,枝干,危害部位
桃缩叶病,叶片,危害部位
桃缩叶病,花器,危害部位
桃缩叶病,果实,危害部位
桃霉斑穿孔病,枝干,危害部位
桃霉斑穿孔病,叶片,危害部位
桃霉斑穿孔病,花器,危害部位
桃霉斑穿孔病,果实,危害部位
桃黑星病,枝干,危害部位
桃黑星病,叶片,危害部位
桃黑星病,果实,危害部位
桃疫腐病,枝干,危害部位
桃炭疽病,枝干,危害部位
桃炭疽病,叶片,危害部位
桃炭疽病,果实,危害部位
桃细菌性穿孔病,枝干,危害部位
桃细菌性穿孔病,叶片,危害部位
桃细菌性穿孔病,果实,危害部位
桃白粉病,枝干,危害部位
桃白粉病,叶片,危害部位
桃白粉病,果实,危害部位
桃树非侵染性流胶病,枝干,危害部位
桃树非侵染性流胶病,叶片,危害部位
桃树非侵染性流胶病,果实,危害部位
桃树侵染性流胶病,枝干,危害部位
桃树侵染性流胶病,果实,危害部位
桃树侵染性流胶病,植株,危害部位
桃煤污病,枝干,危害部位
桃煤污病,叶片,危害部位
桃煤污病,果实,危害部位
桃树木腐病,枝干,危害部位
桃树木腐病,叶片,危害部位
桃树木腐病,植株,危害部位
桃树根朽病,根系,危害部位
桃树根朽病,枝干,危害部位
桃树根朽病,叶片,危害部位
桃树根朽病,果实,危害部位
桃树根朽病,植株,危害部位
桃褐腐病,枝干,危害部位
桃褐腐病,叶片,危害部位
桃褐腐病,花器,危害部位
桃褐腐病,果实,危害部位
桃褐锈病,枝干,危害部位
桃褐锈病,叶片,危害部位
桃褐锈病,果实,危害部位
桃灰霉病,枝干,危害部位
桃白纹羽病,根系,危害部位
桃白纹羽病,植株,危害部位
桃树白绢病,根部,危害部位
桃树白绢病,茎部,危害部位
桃树白绢病,叶片,危害部位
桃树白绢病,果实,危害部位
桃树白绢病,全株,危害部位
桃根癌病,根部,危害部位
桃根癌病,茎部,危害部位
桃根癌病,植株,危害部位
桃潜隐花叶病,枝干,危害部位
桃树红叶病,叶片,危害部位
桃树红叶病,枝干,危害部位
桃树红叶病,果实,危害部位
桃坏死环斑病,叶部,危害部位
桃坏死环斑病,果实,危害部位
桃园根结线虫病,根部,危害部位
桃瘿螨畸果病,枝干,危害部位
桃树缺氮症,枝干,危害部位
桃树缺磷症,枝干,危害部位
桃树缺钾症,枝干,危害部位
桃树缺钾症,叶片,危害部位
桃树缺钾症,果实,危害部位
桃树缺钾症,全株,危害部位
桃树缺铁症,枝干,危害部位
桃树缺铁症,叶片,危害部位
桃树缺铁症,果实,危害部位
桃树缺铁症,全株,危害部位
桃树缺锌症,枝干,危害部位
桃树缺锌症,叶片,危害部位
桃树缺锌症,果实,危害部位
桃树缺锌症,全株,危害部位
桃树缺钙症,根部,危害部位
桃树缺钙症,叶片,危害部位
桃树缺钙症,果实,危害部位
桃树缺铜症,枝干,危害部位
桃树缺铜症,叶片,危害部位
桃树缺铜症,果实,危害部位
桃树缺锰症,枝干,危害部位
桃树缺锰症,叶片,危害部位
桃树缺锰症,果实,危害部位
桃树缺硼症,枝干,危害部位
李袋果病,枝干,危害部位
李袋果病,叶片,危害部位
李袋果病,果实,危害部位
李红点病,叶片,危害部位
李红点病,果实,危害部位
李褐腐病,果实,危害部位
李细菌性穿孔病,枝干,危害部位
李细菌性穿孔病,叶片,危害部位
李细菌性穿孔病,果实,危害部位
李线纹病,叶脉带状,危害部位
李线纹病,线纹斑,危害部位
李线纹病,花叶斑,危害部位
李树流胶病,枝干,危害部位
李树流胶病,果实,危害部位
杏疔病,枝干,危害部位
杏疔病,叶片,危害部位
杏疔病,果实,危害部位
杏疔病,全株,危害部位
苹果轮纹病,枝干,危害部位
苹果轮纹病,叶片,危害部位
苹果轮纹病,果实,危害部位
苹果灰斑病,枝干,危害部位
苹果灰斑病,叶片,危害部位
苹果灰斑病,果实,危害部位
苹果轮斑病,叶片,危害部位
苹果轮斑病,果实,危害部位
苹果锈病,枝干,危害部位
苹果锈病,叶片,危害部位
苹果锈病,果实,危害部位
苹果花腐病,枝干,危害部位
苹果花腐病,叶片,危害部位
苹果花腐病,花器,危害部位
苹果花腐病,果实,危害部位
苹果疫腐病,根系,危害部位
苹果疫腐病,枝干,危害部位
苹果疫腐病,叶片,危害部位
苹果疫腐病,果实,危害部位
苹果煤污病,枝干,危害部位
苹果煤污病,果实,危害部位
苹果圆斑病,枝干,危害部位
苹果圆斑病,叶片,危害部位
苹果圆斑病,果实,危害部位
苹果黑点病,枝干,危害部位
苹果黑点病,叶片,危害部位
苹果黑点病,果实,危害部位
苹果黑腐病,枝干,危害部位
苹果黑腐病,叶片,危害部位
苹果黑腐病,花器,危害部位
苹果黑腐病,果实,危害部位
苹果黑星病,枝干,危害部位
苹果黑星病,叶片,危害部位
苹果黑星病,花器,危害部位
苹果黑星病,果实,危害部位
苹果褐斑病,叶片,危害部位
苹果褐斑病,果实,危害部位
苹果斑点落叶病,叶片,危害部位
苹果斑点落叶病,枝干,危害部位
苹果斑点落叶病,果实,危害部位
苹果白粉病,枝干,危害部位
苹果白粉病,叶片,危害部位
苹果白粉病,花朵,危害部位
苹果白粉病,果实,危害部位
苹果银叶病,枝干,危害部位
苹果银叶病,叶片,危害部位
苹果银叶病,果实,危害部位
苹果银叶病,全株,危害部位
苹果褐腐病,枝干,危害部位
苹果褐腐病,果实,危害部位
苹果丛枝病,根部,危害部位
苹果丛枝病,茎部,危害部位
苹果丛枝病,叶片,危害部位
苹果丛枝病,花朵,危害部位
苹果丛枝病,果实,危害部位
苹果丛枝病,全株,危害部位
苹果缺磷症,枝干,危害部位
苹果缺磷症,叶片,危害部位
苹果树根朽病,根系,危害部位
苹果树根朽病,枝干,危害部位
苹果树根朽病,叶片,危害部位
苹果树根朽病,果实,危害部位
苹果树紫纹羽病,根部,危害部位
苹果树紫纹羽病,茎部,危害部位
苹果树紫纹羽病,叶片,危害部位
苹果树紫纹羽病,全株,危害部位
苹果树白绢病,根部,危害部位
苹果树白绢病,茎部,危害部位
苹果树白绢病,叶片,危害部位
苹果树白绢病,果实,危害部位
苹果树白绢病,全株,危害部位
苹果圆斑根腐病,根部,危害部位
苹果泡斑病,叶片,危害部位
苹果根癌病,根部,危害部位
苹果根癌病,叶片,危害部位
苹果根癌病,果实,危害部位
苹果根癌病,全株,危害部位
苹果花叶病,花叶型,危害部位
苹果皱叶病,枝干,危害部位
苹果皱叶病,叶片,危害部位
苹果皱叶病,花,危害部位
苹果皱叶病,果实,危害部位
苹果扁枝病,枝干,危害部位
苹果扁枝病,果实,危害部位
苹果高接衰退病,根部,危害部位
苹果高接衰退病,茎部,危害部位
苹果高接衰退病,叶片,危害部位
苹果高接衰退病,花朵,危害部位
苹果高接衰退病,果实,危害部位
苹果高接衰退病,全株,危害部位
苹果锈果病,叶片,危害部位
苹果锈果病,茎干,危害部位
苹果锈果病,果实,危害部位
苹果褪绿叶斑病,叶片,危害部位
苹果褪绿叶斑病,果实,危害部位
苹果根结线虫病,根部,危害部位
苹果根结线虫病,茎部,危害部位
苹果根结线虫病,叶片,危害部位
苹果根结线虫病,果实,危害部位
苹果根结线虫病,全株,危害部位
苹果树再植病,根部,危害部位
苹果树再植病,茎部,危害部位
苹果树再植病,叶片,危害部位
苹果树再植病,全株,危害部位
苹果小果病,枝干,危害部位
苹果小果病,叶片,危害部位
苹果小果病,果实,危害部位
苹果小果病,全株,危害部位
苹果树粗皮病,枝干,危害部位
苹果树粗皮病,叶片,危害部位
苹果树粗皮病,果实,危害部位
苹果缺铁黄化症,枝干,危害部位
苹果缺铁黄化症,叶片,危害部位
苹果苦痘症,叶片,危害部位
苹果苦痘症,果实,危害部位
苹果软枝病,枝干,危害部位
苹果软枝病,果实,危害部位
苹果软枝病,植株,危害部位
苹果缺氮症,枝干,危害部位
苹果缺氮症,叶片,危害部位
苹果缺氮症,花器,危害部位
苹果缺氮症,果实,危害部位
苹果缺钾症,枝干,危害部位
苹果缺钾症,叶片,危害部位
苹果缺硼缩果症,根部,危害部位
苹果缺硼缩果症,枝叶,危害部位
苹果缺硼缩果症,果实,危害部位
苹果缺钙症,根部,危害部位
苹果缺钙症,叶片,危害部位
梨黑星病,枝干,危害部位
梨树干枯病,枝干,危害部位
梨树干腐病,枝干,危害部位
梨树干腐病,果实,危害部位
梨火疫病,枝干,危害部位
梨火疫病,叶片,危害部位
梨火疫病,花器,危害部位
梨火疫病,果实,危害部位
梨锈水病,枝干,危害部位
梨锈水病,叶片,危害部位
梨锈水病,果实,危害部位
梨锈病,叶片,危害部位
梨锈病,新梢,危害部位
梨锈病,果实,危害部位
梨树疫病,枝干,危害部位
梨树疫病,幼树,危害部位
梨炭疽病,枝干,危害部位
梨炭疽病,叶片,危害部位
梨炭疽病,果实,危害部位
梨褐斑病,叶片,危害部位
梨褐斑病,果实,危害部位
梨叶疫病,枝干,危害部位
梨叶疫病,叶片,危害部位
梨叶疫病,果实,危害部位
梨叶疫病,植株,危害部位
梨轮纹病,枝干,危害部位
梨轮纹病,叶片,危害部位
梨轮纹病,果实,危害部位
梨黑斑病,枝干,危害部位
梨黑斑病,叶片,危害部位
梨黑斑病,果实,危害部位
梨黑腐病,枝干,危害部位
梨黑腐病,叶片,危害部位
梨黑腐病,果实,危害部位
梨煤污病,枝干,危害部位
梨煤污病,果实,危害部位
梨白纹羽病,根系,危害部位
梨白纹羽病,枝干,危害部位
梨白纹羽病,叶片,危害部位
梨白纹羽病,果实,危害部位
梨白纹羽病,植株,危害部位
梨紫纹羽病,根系,危害部位
梨紫纹羽病,叶片,危害部位
梨紫纹羽病,植株,危害部位
梨根朽病,根部,危害部位
梨树根腐病,根部,危害部位
梨树根癌病,根颈,危害部位
梨树根癌病,枝干,危害部位
梨树根癌病,叶片,危害部位
梨树根癌病,植株,危害部位
梨石痘病,枝干,危害部位
梨石痘病,叶片,危害部位
梨石痘病,果实,危害部位
梨环纹花叶病,叶部,危害部位
梨叶脉黄化病,枝干,危害部位
梨叶脉黄化病,叶片,危害部位
梨叶脉黄化病,植株,危害部位
梨根结线虫病,根系,危害部位
梨根结线虫病,枝干,危害部位
梨根结线虫病,叶片,危害部位
梨根结线虫病,花器,危害部位
梨根结线虫病,植株,危害部位
梨细菌性花腐病,叶片,危害部位
梨细菌性花腐病,花器,危害部位
梨裂果病,枝干,危害部位
梨裂果病,叶片,危害部位
梨裂果病,果实,危害部位
西瓜蔓枯病,幼苗,危害部位
西瓜蔓枯病,成株,危害部位
西瓜枯萎病,苗期,危害部位
西瓜枯萎病,成株,危害部位
西瓜炭疽病,幼苗,危害部位
西瓜炭疽病,叶片,危害部位
西瓜炭疽病,叶柄,危害部位
西瓜炭疽病,果实,危害部位
西瓜疫病,叶片,危害部位
西瓜疫病,茎蔓,危害部位
西瓜疫病,果实,危害部位
西瓜叶枯病,子叶,危害部位
西瓜叶枯病,叶片,危害部位
西瓜叶枯病,茎蔓,危害部位
西瓜叶枯病,果实,危害部位
西瓜褐色腐败病,苗期,危害部位
西瓜褐色腐败病,叶片,危害部位
西瓜褐色腐败病,茎部,危害部位
西瓜褐色腐败病,果实,危害部位
西瓜褐腐病,叶片,危害部位
西瓜褐腐病,果实,危害部位
西瓜菌核病,子叶,危害部位
西瓜菌核病,果实,危害部位
西瓜细菌性角斑病,子叶,危害部位
西瓜细菌性角斑病,叶片,危害部位
西瓜细菌性角斑病,叶柄,危害部位
西瓜细菌性角斑病,果实,危害部位
西瓜细菌性果斑病,子叶,危害部位
西瓜细菌性果斑病,叶片,危害部位
西瓜细菌性果斑病,果实,危害部位
西瓜细菌性果斑病,瓜蔓,危害部位
西瓜病毒病,花叶型,危害部位
西瓜病毒病,蕨叶,危害部位
西瓜黑斑病,叶片,危害部位
西瓜黑斑病,果实,危害部位
西瓜白绢病,茎基部,危害部位
西瓜白绢病,果实,危害部位
甜瓜大斑病,叶片,危害部位
甜瓜大斑病,果实,危害部位
甜瓜黑星病,叶,危害部位
甜瓜黑星病,茎,危害部位
甜瓜霜霉病,叶片,危害部位
甜瓜霜霉病,瓜蔓,危害部位
甜瓜疫病,茎蔓,危害部位
甜瓜疫病,叶片,危害部位
甜瓜疫病,果实,危害部位
甜瓜炭疽病,叶片,危害部位
甜瓜炭疽病,茎和,危害部位
甜瓜炭疽病,叶柄,危害部位
甜瓜炭疽病,果实,危害部位
甜瓜蔓枯病,茎蔓,危害部位
甜瓜蔓枯病,叶片,危害部位
甜瓜蔓枯病,果实,危害部位
甜瓜病毒病,花叶型,危害部位
甜瓜黑斑病,叶片,危害部位
甜瓜黑斑病,茎蔓,危害部位
甜瓜黑斑病,果实,危害部位
甜瓜红粉病,叶片,危害部位
甜瓜红粉病,果实,危害部位
甜瓜镰刀菌果腐病,瓜果,危害部位
甜瓜镰刀菌果腐病,茎蔓,危害部位
甜瓜镰刀菌果腐病,叶柄,危害部位
甜瓜细菌性角斑病,叶片,危害部位
甜瓜细菌性角斑病,叶柄,危害部位
甜瓜细菌性角斑病,卷须,危害部位
甜瓜细菌性角斑病,果实,危害部位
苹果树腐烂病,枝干,危害部位
苹果树腐烂病,果实,危害部位
豌豆炭疽病,叶片,危害部位
豌豆炭疽病,茎蔓,危害部位
豌豆炭疽病,豆荚,危害部位
豌豆细菌性叶斑病,叶片,危害部位
豌豆细菌性叶斑病,茎部,危害部位
豌豆细菌性叶斑病,花梗,危害部位
扁豆炭疽病,子叶,危害部位
扁豆炭疽病,叶片,危害部位
扁豆炭疽病,叶柄,危害部位
扁豆炭疽病,茎蔓,危害部位
扁豆炭疽病,豆荚,危害部位
扁豆细菌性疫病,幼苗,危害部位
扁豆细菌性疫病,成株,危害部位
扁豆细菌性疫病,茎部,危害部位
扁豆细菌性疫病,豆荚,危害部位
扁豆红斑病,叶片,危害部位
扁豆红斑病,豆荚,危害部位
蚕豆褐斑病,叶部,危害部位
蚕豆枯萎病,叶片,危害部位
蚕豆枯萎病,茎基,危害部位
蚕豆枯萎病,根系,危害部位
蚕豆炭疽病,叶片,危害部位
蚕豆炭疽病,茎杆,危害部位
蚕豆炭疽病,叶柄,危害部位
蚕豆炭疽病,豆荚,危害部位
蚕豆轮纹病,叶片,危害部位
蚕豆轮纹病,叶柄,危害部位
蚕豆轮纹病,豆荚,危害部位
蚕豆立枯病,茎基,危害部位
蚕豆立枯病,籽粒,危害部位
蚕豆叶烧病,叶片,危害部位
蚕豆叶烧病,叶柄,危害部位
蚕豆叶烧病,茎部,危害部位
莲藕尾孢褐斑病,叶片,危害部位
莲藕褐纹病,叶片,危害部位
莲藕炭疽病,叶片,危害部位
茭白瘟病,叶片,危害部位
茭白瘟病,叶鞘,危害部位
茭白胡麻斑病,叶片,危害部位
茭白胡麻斑病,叶鞘,危害部位
茭白黑粉病,叶片,危害部位
茭白黑粉病,叶鞘,危害部位
茭白黑粉病,茭肉,危害部位
佛手瓜蔓枯病,叶片,危害部位
佛手瓜蔓枯病,茎蔓,危害部位
佛手瓜蔓枯病,果实,危害部位
苦瓜炭疽病,幼苗,危害部位
苦瓜炭疽病,成株,危害部位
苦瓜疫病,叶片,危害部位
苦瓜疫病,茎基,危害部位
苦瓜疫病,瓜条,危害部位
苦瓜菌核病,茎蔓,危害部位
苦瓜蔓枯病,瓜蔓,危害部位
苦瓜蔓枯病,叶片,危害部位
苦瓜蔓枯病,果实,危害部位
苦瓜细菌性角斑病,叶片,危害部位
苦瓜细菌性角斑病,茎,危害部位
苦瓜细菌性角斑病,果实,危害部位
菜豆红斑病,叶片,危害部位
菜豆红斑病,豆荚,危害部位
菜豆灰霉病,苗期,危害部位
菜豆灰霉病,叶片,危害部位
菜豆灰霉病,根茎,危害部位
菜豆灰霉病,豆荚,危害部位
菜豆炭疽病,子叶,危害部位
菜豆炭疽病,叶片,危害部位
菜豆炭疽病,叶柄,危害部位
菜豆炭疽病,茎部,危害部位
菜豆炭疽病,豆荚,危害部位
菜豆炭疽病,种子,危害部位
菜豆枯萎病,叶片,危害部位
菜豆枯萎病,根、茎,危害部位
菜豆细菌性疫病,幼苗,危害部位
菜豆细菌性疫病,叶片,危害部位
菜豆细菌性疫病,茎蔓,危害部位
菜豆细菌性疫病,豆荚,危害部位
菜豆细菌性疫病,种子,危害部位
菜豆细菌性晕疫病,叶片,危害部位
菜豆细菌性晕疫病,茎部,危害部位
菜豆细菌性晕疫病,果荚,危害部位
菜豆花叶病,叶片,危害部位
菜豆花叶病,豆荚,危害部位
菜豆花叶病,植株,危害部位
菜豆细菌性叶斑病,叶片,危害部位
菜豆细菌性叶斑病,茎和,危害部位
菜豆细菌性叶斑病,叶柄,危害部位
菜豆细菌性叶斑病,种子,危害部位
豇豆疫病,根颈,危害部位
豇豆疫病,蔓茎,危害部位
豇豆疫病,叶片,危害部位
豇豆疫病,叶柄,危害部位
豇豆疫病,花梗,危害部位
豇豆疫病,豆荚,危害部位
豇豆枯萎病,叶片,危害部位
豇豆枯萎病,根茎,危害部位
豇豆锈病,叶片,危害部位
豇豆锈病,叶脉,危害部位
豇豆基腐病,子叶,危害部位
豇豆基腐病,茎基,危害部位
豇豆灰霉病,茎蔓,危害部位
豇豆灰霉病,叶片,危害部位
豇豆灰霉病,豆荚,危害部位
豇豆细菌性疫病,叶片,危害部位
豇豆细菌性疫病,茎蔓,危害部位
豇豆细菌性疫病,豆荚,危害部位
豇豆炭疽病,苗期,危害部位
豇豆炭疽病,叶片,危害部位
豇豆炭疽病,茎部,危害部位
豇豆轮纹病,叶片,危害部位
豇豆轮纹病,茎蔓,危害部位
豇豆轮纹病,豆荚,危害部位
豇豆角斑病,叶片,危害部位
豇豆茎枯病,苗期,危害部位
豇豆茎枯病,成株,危害部位
毛豆锈病,叶片,危害部位
毛豆锈病,叶柄和茎,危害部位
毛豆疫病,苗期,危害部位
毛豆疫病,成株,危害部位
毛豆疫病,豆荚,危害部位
毛豆褐斑病,子叶,危害部位
毛豆褐斑病,叶片,危害部位
毛豆褐斑病,茎和,危害部位
毛豆褐斑病,叶柄,危害部位
毛豆黑斑病,叶片,危害部位
毛豆黑斑病,豆荚,危害部位
毛豆灰斑病,幼苗,危害部位
毛豆霜霉病,幼苗,危害部位
毛豆霜霉病,豆荚,危害部位
毛豆耙点病,叶片,危害部位
毛豆耙点病,叶柄,危害部位
毛豆耙点病,茎蔓,危害部位
毛豆耙点病,豆荚,危害部位
毛豆炭疽病,茎杆,危害部位
毛豆炭疽病,豆荚,危害部位
毛豆炭疽病,子叶,危害部位
毛豆炭疽病,叶片,危害部位
毛豆炭疽病,叶柄,危害部位
毛豆荚枯病,豆荚,危害部位
毛豆荚枯病,茎杆,危害部位
毛豆荚枯病,叶柄,危害部位
毛豆枯萎病,整株,危害部位
毛豆枯萎病,根系,危害部位
毛豆枯萎病,茎部,危害部位
毛豆细菌斑疹病,叶片,危害部位
毛豆细菌斑疹病,豆荚,危害部位
毛豆菌核病,苗期,危害部位
毛豆菌核病,叶片,危害部位
毛豆菌核病,茎杆,危害部位
毛豆菌核病,豆荚,危害部位
毛豆猝倒病,根,危害部位
毛豆黑点病,茎杆,危害部位
毛豆黑点病,豆荚,危害部位
毛豆黑点病,籽粒,危害部位
毛豆轮纹病,子叶,危害部位
毛豆轮纹病,叶片,危害部位
毛豆轮纹病,叶柄,危害部位
毛豆轮纹病,茎部,危害部位
毛豆细菌性斑点病,幼苗,危害部位
毛豆细菌性斑点病,叶片,危害部位
毛豆细菌性斑点病,茎和,危害部位
毛豆细菌性斑点病,叶柄,危害部位
毛豆细菌性斑点病,豆荚,危害部位
毛豆细菌性斑点病,籽粒,危害部位
毛豆羞萎病,幼苗,危害部位
毛豆羞萎病,叶片,危害部位
毛豆羞萎病,叶柄,危害部位
毛豆羞萎病,茎杆,危害部位
毛豆羞萎病,豆荚,危害部位
毛豆紫斑病,子叶,危害部位
毛豆紫斑病,叶片,危害部位
毛豆紫斑病,茎杆,危害部位
毛豆紫斑病,豆荚,危害部位
毛豆紫斑病,种子,危害部位
豌豆褐斑病,叶片,危害部位
豌豆褐纹病,叶片,危害部位
豌豆褐纹病,叶柄及茎,危害部位
豌豆白粉病,叶片,危害部位
豌豆白粉病,茎荚,危害部位
豌豆基腐病,种子,危害部位
豌豆基腐病,幼苗,危害部位
西葫芦枯萎病,幼苗,危害部位
西葫芦枯萎病,成株,危害部位
西葫芦蔓枯病,苗期,危害部位
西葫芦蔓枯病,成株,危害部位
西葫芦绵腐病,果实,危害部位
西葫芦绵腐病,叶片,危害部位
西葫芦软腐病,根茎,危害部位
西葫芦软腐病,果实,危害部位
西葫芦病毒病,花叶型,危害部位
西葫芦病毒病,蕨叶,危害部位
冬瓜黑星病,幼苗,危害部位
冬瓜黑星病,嫩茎,危害部位
冬瓜黑星病,叶柄,危害部位
冬瓜黑星病,瓜蔓,危害部位
冬瓜炭疽病,果实,危害部位
冬瓜炭疽病,叶片,危害部位
冬瓜叶斑病,葫芦,危害部位
冬瓜疫病,茎部,危害部位
冬瓜疫病,叶片,危害部位
冬瓜疫病,果实,危害部位
冬瓜枯萎病,幼苗,危害部位
冬瓜枯萎病,成株,危害部位
冬瓜蔓枯病,茎蔓,危害部位
冬瓜蔓枯病,叶片,危害部位
冬瓜细菌性角斑病,叶片,危害部位
冬瓜细菌性角斑病,果实,危害部位
冬瓜细菌性角斑病,卷须,危害部位
冬瓜灰斑病,叶片,危害部位
冬瓜菌核病,果实,危害部位
冬瓜菌核病,茎蔓,危害部位
冬瓜菌核病,叶柄,危害部位
冬瓜菌核病,幼果,危害部位
瓠瓜白粉病,叶片,危害部位
瓠瓜白粉病,茎蔓,危害部位
瓠瓜白粉病,叶柄,危害部位
瓠瓜炭疽病,叶片,危害部位
瓠瓜炭疽病,茎蔓,危害部位
瓠瓜炭疽病,叶柄,危害部位
瓠瓜炭疽病,果实,危害部位
瓠瓜灰霉病,花和,危害部位
瓠瓜灰霉病,茎蔓,危害部位
瓠瓜灰霉病,叶片,危害部位
瓠瓜细菌性角斑病,叶片,危害部位
瓠瓜细菌性角斑病,果实,危害部位
瓠瓜蔓枯病,茎蔓,危害部位
瓠瓜蔓枯病,叶柄,危害部位
瓠瓜蔓枯病,叶片,危害部位
丝瓜枯萎病,苗期,危害部位
丝瓜枯萎病,成株,危害部位
丝瓜蔓枯病,叶片,危害部位
丝瓜蔓枯病,茎蔓,危害部位
丝瓜蔓枯病,果实,危害部位
丝瓜绵腐病,苗期,危害部位
丝瓜绵腐病,成株,危害部位
丝瓜细菌性角斑病,叶片,危害部位
丝瓜细菌性角斑病,茎和,危害部位
丝瓜细菌性角斑病,果实,危害部位
丝瓜炭疽病,叶片,危害部位
丝瓜炭疽病,叶柄,危害部位
丝瓜炭疽病,茎蔓,危害部位
丝瓜炭疽病,果实,危害部位
丝瓜疫病,果实,危害部位
丝瓜疫病,茎蔓,危害部位
丝瓜疫病,叶片,危害部位
南瓜黑星病,幼苗,危害部位
南瓜黑星病,叶片,危害部位
南瓜黑星病,茎蔓,危害部位
南瓜黑星病,果实,危害部位
南瓜疫病,茎部,危害部位
南瓜疫病,叶片,危害部位
南瓜疫病,根部,危害部位
南瓜疫病,果实,危害部位
南瓜枯萎病,幼苗,危害部位
南瓜枯萎病,成株,危害部位
南瓜病毒病,花叶型,危害部位
