entity,english
樱桃粘叶蜂,cherrysawfly
樱桃卷叶蚜,nan
樱桃瘿瘤头蚜,nan
梅瘤蚜,nan
梅灰霉病,Ume plum gray mold
小绿叶蝉,Smaller green leafhopper
茶翅蝽,Yellow-brown stink bug
梨网蝽,pear lace bug
梅溃疡病,Ume plum canker
梅叶炭疽病,Ume plum anthracnose
梅黑星病,Ume plum scab
梅枝枯病,Ume plum shoot blight
红腹缢管蚜,rice root aphid
葡萄黑腐病,Grape black rot
葡萄煤点病,nan
葡萄拟茎点霉腐烂病,nan
葡萄白腐病,Grape white rot
葡萄穗轴褐枯病,Grape Alternaria spot
葡萄炭疽病,Grape ripe rot
葡萄房枯病,Caucasus grape black rot
葡萄大房枯病,nan
葡萄黑痘病,Grape spot anthracnose
葡萄苦腐病,Grape bitter rot 
葡萄霜霉病,Grape downy milde
葡萄灰霉病,Grape gray mold
葡萄白粉病,Grape powdery mildew
葡萄盘多毛孢蔓枯病,nan
葡萄锈病,Grape rust
葡萄皮尔斯病,Grape pierce’disease
葡萄根癌病,Grape tumor
葡萄卷叶病,Grape leaf roll
葡萄扇叶病,Grape fan leaf
葡萄黄点病,Grape yellow spot
葡萄栓皮病,Grape corky bark virus
葡萄茎痘病,Grape stem pitting
葡萄斑点病,nan
葡萄黄金病,Grape yellow leaf
葡萄萎缩病,nan
葡萄黄脉病,Grapevine yellow vein
葡萄花叶病,nan
葡萄根腐线虫病,nan
葡萄根结线虫病,Grape root-knot nematode
葡萄剑线虫病,nan
葡萄转色病,nan
葡萄酸腐病,nan
葡萄日灼病,Grape sunscald
葡萄生理性裂果病,nan
葡萄黄叶病,Grape yellow leaf
葡萄缺铁病,nan
葡萄缺镁病,Grape magnesium deficiency
葡萄缺硼缩果病,nan
葡萄缺钾病,nan
葡萄缺锌病,nan
葡萄长须卷蛾,Long-palpi tortrix
葡萄天蛾,Grape horn worm
雀纹天蛾,Small hawk moth
葡萄斑蛾,Grape leaf worm
旋目夜蛾,Velvety huge-comma
葡萄虎蛾,Boston ivy tiger-moth
台湾黄毒蛾,Taiwan yellow moth
葡萄十星叶甲,Grape leaf beetle
葡萄瘿蚊,nan
葡萄根瘤蚜,Grape phylloxera
葡萄斑叶蝉,Grape leafhopper
桃一点斑叶蝉,Peach leafhopper
斑衣蜡蝉,Chinese blisteringcicada
烟蓟马,Onion thrips
葡萄短须螨,nan
葡萄虎天牛,Grape borer
葡萄透翅蛾,Grape clear wing moth
斑喙丽金龟,Chestnut brown chafer
猕猴桃褐色麻斑病,Yangtao Pseudocercospora leaf spot
猕猴桃褐腐病,Yangtao brown rot
猕猴桃褐斑病,Yangtao Mycosphoerella leaf spot
猕猴桃灰霉病,Yangtao gray mold rot
猕猴桃溃疡病,Yangtao canker
猕猴桃果实软腐病,Yangtao bacterial soft rot
栗木腐病,Chestnut Schizophyllum rot
栗枝枯病,Chestnut twig blight
栗干枯病,Chestnut canker
栗白粉病,Chestnut powdery milde
栗红疣枝枯病,nan
栗炭疽病,Chestnut anthracnose
栗种仁斑点病,Chestnut seed mold rot
栗溃疡病,Chestnut bacterial canker
栗叶枯病,nan
栗大蚜,Large chestnut aphid
栗小爪螨,spruce spider mite，conifer spinning mite
栗实象虫,Chestnut weevil
栗透翅蛾,Chinese chestnut clearwing moth
栗瘿蜂,Chestnut gall wasp
银杏大蚕蛾,Giant silk moth
核桃树腐烂病,Walnut Cytospora canker
核桃黑粒枝枯病,Walnut Melanconis disease
核桃灰斑病,Walnut leaf blight
核桃黑斑病,Walnut bacterial blight
核桃白粉病,Walnut powdery milde
核桃炭疽病,Walnut anthracnose
核桃褐斑病,Walnut brown spot
核桃举肢蛾,Walnut sun moth
核桃缀叶螟,nan
云斑天牛,Whitestriped longicorn beetle
核桃叶甲,nan
美国白蛾,Fall webworm
核桃黑斑蚜,walnut aphid
枣锈病,Common Jujube rust
枣黑腐病,Jujube black rot
枣焦叶病,Jujube leafscorch
枣炭疽病,Jujube anthracnose
枣轮纹病,Jujube perennial canker
枣灰斑病,Jujube gray leaf spot
枣叶黑斑病,Jujube leaf blackspot
枣树枝枯病,Jujube tree twig blight
枣苗茎腐病,Jujube ashy-stem blight
枣树根朽病,Armillaria root rot
枣树腐烂病,Jujube canker
枣果青霉病,Jujube blue mold
枣缩果病,Jujube fruit Erwinia rot
枣树根癌病,Jujube crown gall
枣白腐病,Jujube white rot
枣果锈病,nan
枣裂果病,Jujube fruit split
枣疯病,Jujube witches broom
枣树花叶病,Jujube mosaic
枣瘿蚊,Jujube midge
枣飞象,Bud-eating Weevil
红缘天牛,Red－striped longicorn
梨叶蜂,nan
梨二叉蚜,Pear aphid
梨大蚜,nan
梨黄粉蚜,Pear phylloxer
梨北京圆尾蚜,nan
梨笠圆盾蚧,San Jose scale
梨蝽,Pear stink bug
中国梨木虱,Chinese pear jumping plant lice
梨缩叶壁虱,nan
梨潜皮细蛾,Pear bark miner
梨叶肿瘿螨,Pear leaf blister mite
梨瘿华蛾,Pear twig gall moth
梨茎蜂,Pear twig girdler
梨眼天牛,Blue pear twig borer
梨小吉丁虫,Pear branch borer
梨金缘吉丁,Yellow-margined buprestid
梨剑纹夜蛾,Sorrel cut worm
梨黄卷蛾,Asiatic leaf roller
梨食芽蛾,Pear budmoth
果红裙扁身夜蛾,Striped black moth
梨大叶蜂,nan
梨大绿蚜,Pear green aphid
盐源片盾蚧,nan
辽梨木虱,nan
山楂白粉病,Japanese hawthorn powery milde
山楂锈病,Japanese hawthorn rust
山楂叶斑病,Chinese hawthorn Phyllosticta leaf spot
山楂花腐病,Hawthorn blossom blight
山楂腐烂病,Hawthorn Valsa canker
山楂枯梢病,Hawthorn fruit-bearing shoot withering
山楂干枯病,Hawthom trunk blotch
山楂黑星病,Hawthorn scab
山楂立枯病,nan
山楂日灼病,nan
山楂小食心虫,lesser hawthorn fruit moth 
白小食心虫,Larger apple fruit moth
山楂绢粉蝶,Black-veined white butterfly
山楂花象甲,nan
山楂萤叶甲,nan
金环胡蜂,Yellow jacket
山楂喀木虱,nan
芽白小卷蛾,Apple fruit licker
黄斑长翅卷叶蛾,Yellow tortrix
梨星毛虫,Pear leaf worm
棉铃虫,Cotton boll worm
苹果球蚧,Globular Apple scale
金缘吉丁虫,Yellow-margined buprestid
旋纹潜叶蛾,Pear leaf blistermoth
扁刺蛾,Nettle grub
红棕灰夜蛾,Muberry caterpillar
桑褶翅尺蠖,Mulberry looper
苹毛丽金龟,Proagopertha lucidula
棉花弧丽金龟,Mutant Japanese beetle
东方盔蚧,nan
桃褐斑穿孔病,Peachbrown  spot shot hole
绣线菊蚜,Citrus aphid
桃树腐烂病,Peachtree canker
桃缩叶病,Peachtree leaf curl
桃霉斑穿孔病,Peach Clasterosporium shot hole
桃黑星病,Peach scab
桃黑斑病,Peach black spot
桃溃疡病,Peach Cylindrocladium canker
桃疫腐病,Peach collar rot
桃炭疽病,Peach anthracnose
桃实腐病,Peach fruit rot
桃细菌性穿孔病,Peach bacterial shot hole
桃白粉病,Peach powdery mildew
桃树非侵染性流胶病,Peach gummosis
桃树侵染性流胶病,Peachtree Botryosphaeria gummosis
桃煤污病,Peach tree sooty blotch
桃褪绿叶斑病,Peach chlorotic leafspot virus
苹毛虫,Apple caterpillar
桃树木腐病,Peach tree wood rot
桃树根朽病,Peach root decay
桃褐腐病,Peach brown rot
桃曲霉病,Peach aspergillosis
桃褐锈病,Peach brown rust
桃白锈病,Peach white rust
桃软腐病,Peach soft rot
桃灰霉病,Peach gray mold
桃白纹羽病,Peach tree white root rot
桃树白绢病,Peach tree southern blight
桃红粉病,Peach pink milde
桃根癌病,Peach crown gall
桃潜隐花叶病,Peach latent mosaic
桃树红叶病,Peach tree red leaf
桃坏死环斑病,Peach necrotic ringspot virus
桃园根结线虫病,Peach tree root-knot nematode disease
桃瘿螨畸果病,Peach mite deformed fruit
桃树缺氮症,Peach nitrogen deficiency
桃树缺磷症,Peach phosphorus deficiency
桃树缺钾症,Peach potassium deficiency
桃树缺铁症,Peach tree iron deficiency
桃树缺锌症,Peach tree Zn-deficiency
桃树缺钙症,Peach tree Ca-deficiency
桃树缺铜症,Peach tree Cu-deficiency
桃树缺锰症,Peach tree Mn-deficiency
桃树缺硼症,Peach tree B-deficiency
桃剑纹夜蛾,Apple dagger moth
桑剑纹夜蛾,Large dagger moth
蓝目天蛾,Cherry horn worm
褐刺蛾,Thosea haibarana
双齿绿刺蛾,Dlum stinging caterpillar
中国绿刺蛾,Chines ecochlid
白杨枯叶蛾,nan
黄斑卷蛾,Yellow tortrix
水木坚蚧,brown elm scale，fruit lecanium
桃小蠹,nan
海棠透翅蛾,Chinese crabapple aegeriid
桃仁蜂,nan
桃瘤蚜,Peach aphid
李袋果病,Plum pockets
李红点病,Plum leaf blister
李褐腐病,Plum brown rot
李细菌性穿孔病,Plum black spot or bacterial leaf spot
李线纹病,Plum line pattern
李树流胶病,Plum tree gummosis
黄斑卷叶蛾,Yellow tortrix
杏象甲,Peach curculio
苹小卷叶蛾,Adoxophyes orana Fischer von Rosleratamm
铜绿丽金龟子,Blue chafer
李短尾蚜,leaf curl plum aphid，leafcurling plum aphid，plum aphid
杏树腐烂病,Apricot tree canker
杏疔病,Apricot pox
杏褐腐病,Apricot brown rot
杏黑粒枝枯病,Apricot shoot blight
杏树流胶病,Apricot tree gummosis
杏干枯病,nan
杏细菌性穿孔病,Apricot bacterial shot hole
苹果轮纹病,Apple ring spot
苹果炭疽溃疡病,Apple Cryptosporiopsis Canker
苹果灰斑病,Apple gray spot
苹果白星病,Apple Coniothyrium leaf spot
苹果轮斑病,Apple ring spot
苹果树枝溃疡病,Apple twig canker
苹果树泡性溃疡病,Apple tree blister canker
苹果干枯病,Apple tree Phomopsis
苹果树枝枯病,Apple tree twig blight
苹果树木腐病,Apple tree Schizophyllum rot
苹果锈病,Apple rust
苹果霉心病,Apple mouldy core
苹果花腐病,Apple blossom blight
苹果炭疽病,Apple anthracnose
苹果疫腐病,Apple collar rot
苹果煤污病,Apple sooty blotch
苹果蝇粪病,Apple fly speck
苹果圆斑病,Apple fruit blotch
苹果黑点病,Apple fruit spot
苹果黑腐病,Apple black rot
苹果黑星病,Apple scab
苹果疱性溃疡病,Apple tree blister canker
苹果褐斑病,Apple brown spot
苹果斑点落叶病,Apple Alternaria leaf spot
苹果白粉病,Apple powdery milde
苹果环纹叶枯病,Apple zonate leaf sopt
苹果银叶病,Apple silver leaf
苹果树赤衣病,Apple tree pink disease
苹果树灰色膏药病,Apple tree gray felt disease
苹果树褐色膏药病,Apple tree brown felt disease
苹果褐腐病,Apple brown rot
苹果树白纹羽病,Apple tree white root rot
苹果树地衣病,Apple lichen
苹果丛枝病,Apple witches’broom
苹果缺磷症,Apple phosphorus deficiency
苹果树根朽病,Apple clitocybe root rot and Armillaria root rot
苹果树紫纹羽病,Apple purple root rot
苹果树白绢病,Apple tree southern blight
苹果圆斑根腐病,Apple Fusarium root rot
苹果苗立枯病,Apple seedling stem rot
苹果泡斑病,Apple blister spot
苹果毛根病,Apple hairy root
苹果根癌病,Apple crown gall
苹果粗皮果病,Apple rough bark
苹果绿皱果病,Apple green crinkle
苹果花叶病,Apple mosaic
苹果皱叶病,Apple leaf pucker
苹果茎痘病,Apple stem pitting
苹果茎沟病,Apple stem grooving
苹果扁枝病,Apple tree flat limb
苹果高接衰退病,Apple tree decline
苹果锈果病,Apple rough skin
苹果环斑果病,Apple ring spot
苹果褪绿叶斑病,Apple chlo rotic leaf spot
苹果根结线虫病,Apple tree root-knot nematode disease
苹果根腐线虫病,nan
苹果树再植病,nan
苹果小果病,Apple chat fruit
苹果枝腐病,nan
苹果树粗皮病,Apple tree rough bark
苹果缺铁黄化症,Apple tree iron deficiency
苹果小叶病,Apple tree little leaf
苹果苦痘症,Apple bitter pit
苹果痘斑症,Apple bitter pit
苹果软枝病,nan
苹果大果海棠鳞皮病,nan
苹果疱皮病,nan
苹果水心症,Apple water core
苹果缺镁症,Apple tree magnesium deficiency
苹果缺氮症,Apple nitrogen deficiency
苹果缺钾症,Apple potassium deficiency
苹果缺硼缩果症,Apple fruit wrinkle
苹果缺钙症,Apple tree Ca-deficiency
苹果缺锰症,Apple tree Mn-deficiency
苹果果锈,Apple fruit rust
苹果青霉病,Apple blue mold
苹小食心虫,Lesser Apple fruit borer
苹果小卷蛾,Smaller apple leaf roller
苹褐卷叶蛾,Apple brown tortrix
苹果卷蛾,Large apple leaf roller
桑褐刺蛾,Thosea haibarana
苹果蠹蛾,Codling moth
盗毒蛾,Mulberry tussock moth
苹果巢蛾,Apple ermine moxh
苹果透翅蛾,Conopia hector
柳干木蠹蛾,Oriental carpenter moth
淡褐巢蛾,Alutaceous ermine moth
金纹细蛾,Asiaticapple leaf miner
苹果瘤蚜,Apple leaf curing aphid
苹果根绵蚜,nan
绿盲蝽,Cotton mirids
苹果绵蚜,Apple woolly aphid
苹果全爪螨,Europeanred mite
果苔螨,brown mite
二斑叶螨,Two spotted spider mite
苹果小吉丁,Apple branch borer
六斑吉丁虫,sixspotted buprestid
薄翅锯天牛,Thin-winged longicorn
苹绕实蝇,Apple maggot
苹黑痣小卷蛾,Black headed fire worm
苹果雕翅蛾,Apple leaf skeletonizer
苹果鞘蛾,Apple pistolcasebearer
苹果塔叶蝉,nan
苹果蓝跳甲,nan
帽斑天牛,Black-spotted red longicorn
梨树腐烂病,Pear canker
梨黑星病,Pear scab
梨树干枯病,Pear tree Phomopsis twig blight
梨树枝枯病,Pear tree twig blight
梨树木腐病,Pear tree Schizophyllum rot
梨树干腐病,Pear tree die back
梨火疫病,Pear tree fire blight
梨锈水病,nan
梨锈病,Pear rust
梨白粉病,Pear tree powdery milde
梨树疫病,Pear Phytophthara crown and root rot
梨炭疽病,Pear anthracnose
梨褐斑病,Pear brown spot
梨灰斑病,Pear phyllosticta leaf spot
梨叶疫病,Pear leaf blight and fruit spot
梨轮纹病,Pear perennial canker
梨疫霉病,Pear Phytophthora crown and root rot
梨果红粉病,Pear pink rot
梨黑斑病,Pear black spot
梨黑腐病,Pear black rot
梨煤污病,Pear sooty blotch
梨褐腐病,Pear brown rot
梨白纹羽病,Pear tree white root rot
梨紫纹羽病,Pear purple root rot
梨根朽病,Pear clitocybe root rot
梨树根腐病,Pear tree root rot
梨树根癌病,Pear crowngall
梨石痘病,Pear stone pit virus
梨环纹花叶病,Pear tree chlorotic leaf spot
梨叶脉黄化病,Pear veinyellows
梨根结线虫病,Pear tree root-knot nematode disease
梨果青霉病,Pear blue mold
梨软腐病,Pear Mucor fruit rot
梨顶腐病,Pear diplodia rot
梨树衰退病,Pear tree decline
梨细菌性花腐病,Pear tree bacterial blossom blight
梨叶疹病,Pear leaf spot
梨缩叶病,Pear leaf curl
梨灰色膏药病,Pear gray felt fungus
梨烂果病,Pear fruit rot
梨裂果病,Pear fruit split
梨大食心虫,Pear fruit moth
梨尺蠖,nan
梨象甲,Pear curcuclio
梨铁甲,nan
梨叶甲,nan
梨卷叶象甲,Hazel leafroller weevil
蘑菇绿霉病,Mushroom Trichoderma
蘑菇菌盖斑点病,Mushroom pileus spot disease
蘑菇干腐病,Mushroom dry rot
蘑菇软腐病,Mushroom soft rot
蘑菇细菌性斑点病,Mushroom bacteroidal spot disease
蘑菇病毒病,Mushroom virus disease
蘑菇线虫病,Mushroom nemathelminthiasis
蘑菇菌丝徒长,Mushroom mycelium vain growth
蘑菇畸形,Mushroom malformation
蘑菇死菇,Mushroom lose plant
兰氏布伦螨,nan
红蜘蛛,nan
短角跳虫,nan
黑腹果蝇,Drosophila melanogaster
草菇折翅菌蚊,nan
闽菇迟眼蕈蚊,nan
平菇厉眼蕈蚊,nan
中华新蕈蚊,nan
韭菜迟眼蕈蚊,Bradysia odoriphaga
食菌瘿蚊,nan
小菌蚊,nan
平菇青霉病,Cap fungus blue mould
平菇软腐病,Cap fungus soft rot
双线嗜黏蛞蝓,Land slug
平菇病毒病,Cap fungus virus disease
平菇萎菇,Cap fungus withered
平菇幼菇萎缩干枯病,Cap fungus bud kraurosis
香菇褐腐病,Champignon brown rot
香菇蛛网丝枝霉病,Champignon Aphanocladium mildew
香菇绿霉病,Champignon green mold
香菇畸形菇,Champignon deformity
鸡腿菇红粉病,Coprinus comatus Thichothecium
鸡腿菇绿霉病,Coprinus comatus Thichoderma
鸡爪菌,Xylaria
鸡腿菇干裂,Coprinus comatus season check
杏鲍菇青霉病,Pleurotus eryngii Penicillium
杏鲍菇畸形,Pleurotus eryngii deformity
木霉,Trichoderma
青霉,Penicillium
黄瘤孢霉,Sepedonium
可变粉孢霉,Oidium
胡桃肉状菌,Dichliomyces
束梗孢霉,Doratomyces
指孢霉,Dactylium
脉孢霉,Neurospora
粘菌,Myxomycetes
粪生帚霉,Scopulariopsis
鬼伞,Coprinuscomatus
地碗菌,Peziza
西瓜蔓枯病,Water-melon gummy stem blight
西瓜枯萎病,Water-melon Fusarium wilt
西瓜炭疽病,Water-melon anthracnose
西瓜疫病,Water-melon Phytophthora blight
西瓜丝核菌立枯病,Watermelon Rhizoctonia rot
西瓜斑点病,Water-melon Cercospora leaf spot
西瓜叶枯病,Water-melon Alternaria blight
西瓜绵腐病,Water-melon damping off
西瓜褐色腐败病,Water-melon Phytophthora brown rot
西瓜褐腐病,Water-melon brown rot
西瓜菌核病,Water-melon Sclerotinia disease
西瓜细菌性角斑病,Water-melon bacterial angular spot
西瓜细菌性果斑病,Water-melon bacterial fruit blotch
西瓜病毒病,Water-melon virus disease
西瓜绿斑驳花叶病,Watermelon green mottle mosaic
西瓜根结线虫病,Watermelon root-knotnematode disease
西瓜猝倒病,Water-melon damping-off
西瓜黑斑病,Water-melon black leaf spoot
西瓜白粉病,Watermelon powdery mildew
西瓜镰刀菌根腐病,Watermelon Fusarium root rot
西瓜白绢病,Water-melon Sclerotium blight
西瓜粘菌病,nan
西瓜细菌褐斑病,nan
西瓜缺素症,nan
西瓜叶白枯病,nan
西瓜空洞果和变形果,nan
西瓜沤根,nan
西瓜粗蔓病,nan
西瓜肉质恶变果,nan
西瓜煤污病,Water-melon Cerospora
西瓜脐腐病,nan
西瓜化瓜,nan
西瓜裂果症状,Water-melon fruit cracking
西瓜日灼,Water-melon suncald
瓜绢螟,Indian cabbage moth
葫芦夜蛾,nan
黄足黄守瓜,Yellow melon leaf beetle
黄足黑守瓜,Black yellow legged melon leafbeetle
温室白粉虱,Greenhouse whitefly
美洲斑潜蝇,Vegetable leafminer
瓜蚜,Catton aphid
烟粉虱,Cotton white fly
茶黄螨,Yellow tea mite
朱砂叶螨,Carmine spider mite
黄胸蓟马,Yellow chest thrips
华北蝼蛄,nan
同型巴蜗牛,Smooth top snail
野蛞蝓,Wild slugs
沟金针虫,Grooved click beetle
甜瓜大斑病,Muskmelon Alternaria leaf blight
甜瓜黑星病,Muskmelon scab
甜瓜白粉病,Muskmelon powdery milde
甜瓜霜霉病,Muskmelon downy milde
甜瓜疫病,Muskmelon Phytophthora blight
甜瓜软腐病,Muskmelon bacterial soft rot
甜瓜猝倒病,Muskmelon damping off
甜瓜炭疽病,Muskmelon anthracnose
甜瓜叶枯病,nan
甜瓜蔓枯病,Muskmelon gummy stem blight
甜瓜枯萎病,Muskmelon Fusarium wilt
